season,week,away,home,market_home_margin_close,canonical_model_id,model_name,prediction_home_margin,picker,source_table,orientation_method
2026,2,North Carolina,TCU,9.0,linecfbp_cfb_geek,CFB Geek,6.7,CFB Geek,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,linecfbp_cfb_geek,CFB Geek,33.8,CFB Geek,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,linecfbp_cfb_geek,CFB Geek,1.8,CFB Geek,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,linecfbp_cfb_geek,CFB Geek,5.5,CFB Geek,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,linecfbp_cfb_geek,CFB Geek,7.3,CFB Geek,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,linecfbp_cfb_geek,CFB Geek,-2.8,CFB Geek,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,linecfbp_cfb_geek,CFB Geek,28.1,CFB Geek,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,linecfbp_cfb_geek,CFB Geek,-3.2,CFB Geek,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,linecfbp_cfb_professor,CFB Professor,6.0,CFB Professor,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,linecfbp_cfb_professor,CFB Professor,40.5,CFB Professor,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,linecfbp_cfb_professor,CFB Professor,-6.3,CFB Professor,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,linecfbp_cfb_professor,CFB Professor,2.2,CFB Professor,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,linecfbp_cfb_professor,CFB Professor,17.6,CFB Professor,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,linecfbp_cfb_professor,CFB Professor,14.9,CFB Professor,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,linecfbp_cfb_professor,CFB Professor,37.7,CFB Professor,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,linecfbp_cfb_professor,CFB Professor,0.4,CFB Professor,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
