lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linefluker,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,linenewbury,lineborn,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
25.5,28.5,East Carolina,Alabama,19.5,,,28.5,,19.77,18.556,,,,,,,11.38,22.51,5.0,,23.0,,,,,19.52,15,,12.95,,,,0,,14.64,13.55,12.647730078,17.32,23.6225,,,29.2,21.7,,21.826,,19.83,,21.52,,,,,18.152111504,5.4363690155,19.51,0.3285776887,0.8594778148,27.0
7.0,7.0,Baylor,Auburn,1.5,,,7.0,,5.34,3.333,,,,,,,3.97,5.57,-2.5,,5.1,,,,,9.06,9,,9.86,,,,0,,10.21,11.23,9.260835028,8.61,2.3282,,,11.9,6.1,,10.584,,11.81,,5.1,,,,,6.8683017514,3.9051379563,7.355,0.4977162045,0.662235964,7.0
-55.0,-2.0,UCLA,California,3.0,,,-2.0,,9.23,-2.0,,,,,,,3.45,0.63,10.5,,-1.2,,,,,0.68,-3,,1.17,,,,0,,18.75,7.75,2.29170045,0.37,0.3258,,,0.01,-0.5,,1.2705,,3.48,,-0.96,,,,,2.7619000225,5.1934567748,0.925,0.5811105586,0.5654372366,-1.0
9.5,7.5,Boston College,Cincinnati,10.5,,,7.5,,3.28,10.778,,,,,,,14.96,8.64,16.5,,5.8,,,,,5.78,16,,14.77,,,,0,,10.66,9.15,9.047429844,5.93,13.5555,,,8.7,4.9,,14.7525,,9.08,,7.74,,,,,10.026171492,3.9497815493,9.115,0.5437045952,0.7292760566,7.5
4.0,3.0,Wyoming,Colorado St.,2.0,,,3.0,,2.95,4.389,,,,,,,1.41,-1.12,5.0,,2.9,,,,,3.39,-9,,-0.85,,,,0,,-1.17,-0.73,-0.372246108,0.28,1.902,,,6.2,0.7,,2.3835,,1.44,,4.32,,,,,1.3011126946,3.2367826743,1.671,0.4704325865,0.5318836552,3.0
10.0,9.0,Tulane,Duke,0.01,,,9.0,,11.55,6.889,,,,,,,2.7,5.71,-1.0,,3.0,,,,,6.07,3,,5.43,,,,0,,-2.25,9.02,3.651769621,3.72,4.8076,,,8.2,4.9,,6.475,,9.11,,4.13,,,,,4.7556684811,3.4312145394,4.8538,0.4265746918,0.6147470089,8.0
4.5,3.5,San Jose St.,Eastern Mich.,3.0,,,3.5,,10.17,2.653,,,,,,,5.03,-3.48,6.0,,5.0,,,,,-1.21,1,,-0.1,,,,0,,2.99,5.44,4.292681454,-3.4,-0.9001,,,0.1,2.9,,3.171,-1.0,6.29,,1.05,,25.6,,,3.5998372121,6.050000649,2.99,0.5016973918,0.583622873,3.5
25.5,27.0,Florida Atlantic,Florida,17.5,,,27.0,,9.19,19.667,,,,,,,9.68,25.12,3.5,,23.5,,,,,22.68,17,,23.02,,,,0,,18.3,22.49,16.411649241,21.71,25.8023,,,26.8,23.0,,27.8635,,24.52,,22.46,,,,,20.010722462,6.3571264126,22.475,0.383296123,0.8782392814,26.0
-1.5,-3.0,SMU,Florida St.,-5.5,,,-3.0,,-3.75,-1.121,,,,,,,-7.75,-2.27,-5.5,,-4.0,,,,,,-8,,1.24,,,,0,,-10.32,-4.22,-6.396761483,0.11,-0.5184,,,-6.8,-1.6,,-3.7975,,-7.86,,-3.1,,,,,-4.271245341,3.1275278198,-4.0,0.4778516636,0.3962807364,-3.0
7.0,6.5,Colorado,Georgia Tech,13.5,,,6.5,,15.88,16.056,,,,,,,13.34,9.41,18.0,,7.4,,,,,7.79,14,,14.63,,,,0,,11.17,13.44,10.155926372,7.26,11.5879,,,9.2,9.9,,16.0125,,8.02,,9.45,,,,,11.810116319,3.2993835944,11.37895,0.5916446441,0.7659720534,7.5
-1.5,-3.0,UNLV,Hawaii,-4.0,,,-3.0,,2.6,0.677,,,,,,,0.15,-3.92,-2.0,,-6.6,,,,,-3.45,-2,,-0.27,,,,0,,-4.13,2.55,3.520060429,-3.75,-3.1421,,,-2.1,0.4,,-2.2085,-3.0,1.97,6.042,-3.15,,-7.3,,,-1.368706344,3.3370997377,-2.05,0.5283752403,0.4665054138,-3.0
18.5,20.5,Oregon St.,Houston,13.0,,,20.5,,,31.056,,,,,,,16.47,13.26,23.0,,17.0,,,,,13.56,27,,21.66,,,,0,,14.42,23.35,24.538807554,8.3,17.8604,,,21.5,22.0,,27.776,,22.37,,11.96,,,,,19.477958292,6.1308738312,21.5,0.4826446101,0.8729957478,20.5
27.5,28.0,UAB,Illinois,22.5,,,28.0,,,28.0,,,,,,,16.98,28.56,16.0,,24.0,,,,,22.42,32,,31.0,,,,0,,23.0,26.55,22.165417947,21.69,32.4275,,,29.8,28.8,,35.4515,,28.9,,23.34,,,,,25.97812726,5.2332438321,26.55,0.4653770749,0.9392682058,28.0
40.5,40.5,North Texas,Indiana,21.5,,,40.5,,,23.556,,,,,,,15.06,28.0,7.5,,27.0,,,,,26.4,43,,26.01,,,,0,,35.09,31.19,27.861806941,19.28,33.1895,,,39.8,35.1,,24.864,,36.0,,22.16,,,,,27.503226681,8.623439146,27.0,0.2960441705,0.9354638541,39.5
30.5,31.5,Northern Ill.,Iowa,21.0,,,31.5,,,35.222,,,,,,,18.7,33.46,21.0,,25.0,,,,,26.39,42,,38.16,,,,0,,25.15,35.04,36.107394173,23.94,35.0857,,,36.5,34.1,,40.068,,37.39,,27.86,,,,,31.167004956,7.1495963572,34.1,0.4944118951,0.9628105949,31.5
6.0,6.5,Liberty,James Madison,17.5,,,6.5,,8.14,16.333,,,,,,,17.99,20.79,24.5,,7.5,,,,,10.96,23,,25.25,,,,0,,22.8,19.94,23.821930004,15.83,28.0301,,,10.0,16.6,,22.596,,16.14,,17.83,,,,,18.2775515,5.8160308553,17.91,0.6925853062,0.859335833,8.0
9.0,10.5,Clemson,LSU,5.5,,,10.5,,4.49,7.444,,,,,,,2.67,3.42,0.01,,9.8,,,,,6.78,-4,,5.19,,,,0,,2.85,8.54,2.884449177,3.6,2.1361,,,12.4,10.1,,6.895,,6.91,,4.05,,,,,5.0829774589,3.7502177784,4.84,0.4068205784,0.6218925588,9.5
10.5,10.5,Arkansas St.,Memphis,16.5,,,10.5,,-0.24,12.728,,,,,,,9.56,18.82,16.0,,7.0,,,,,15.54,13,,19.15,,,,0,,20.08,11.2,9.781155814,14.16,19.232,,,14.9,11.5,,16.303,,13.77,,15.38,,,,,13.718207791,4.8080148343,14.53,0.5552199219,0.7950510148,11.0
26.5,27.5,Western Mich.,Michigan,18.0,,,27.5,,15.47,18.0,,,,,,,8.54,29.56,6.5,,23.5,,,,,21.43,17,,17.43,,,,0,,11.36,12.08,11.702764992,18.62,25.9692,,,31.3,20.0,,24.8605,,18.25,,25.12,,,,,18.73462325,6.7110260854,18.125,0.3554217883,0.8606806886,26.5
12.0,10.0,Toledo,Michigan St.,-1.0,,,10.0,,6.27,3.833,,,,,,,-5.47,7.66,-13.0,,7.1,,,,,3.03,-1,,-2.13,,,,0,,-11.12,0.8,-1.602682856,1.27,0.8534,,,11.1,5.9,,4.116,,6.42,,6.43,,,,,1.4729858572,6.1604095993,2.15,0.3583210991,0.5343491714,8.5
6.5,7.0,Louisville,Mississippi,9.0,,,7.0,,2.14,6.111,,,,,,,4.91,8.1,3.5,,4.1,,,,,5.48,16,,8.88,,,,0,,11.64,14.24,14.38446177,7.31,15.2453,,,11.8,11.5,,9.6495,,12.78,,11.89,,,,,9.4330130885,4.1504005209,9.32475,0.5420347965,0.7166018617,7.0
28.5,28.5,Louisiana-Monroe,Mississippi St.,16.0,,,28.5,,19.42,18.833,,,,,,,14.53,28.96,5.5,,23.0,,,,,26.59,26,,31.8,,,,0,,12.96,23.56,19.902626106,20.7,29.266,,,30.4,23.1,,28.931,,27.65,,24.52,,,,,22.581131305,6.7186042229,23.33,0.4011737309,0.9041549582,28.0
23.5,24.5,Ohio,Nebraska,2.0,,,24.5,,25.25,14.389,,,,,,,3.57,15.71,0.01,,22.0,,,,,17.2,17,,12.38,,,,0,,2.22,10.63,8.436828789,9.45,15.3809,,,23.2,16.0,,18.564,,17.16,,11.53,,,,,13.103536439,7.1725149279,14.88495,0.3158753654,0.7733002458,23.5
-3.0,-2.5,Western Kentucky,Nevada,-11.5,,,-2.5,,-2.74,-10.056,,,,,,,-6.67,-3.93,-4.0,,-3.8,,,,,-0.28,-8,,-5.62,,,,0,,-6.99,-4.65,-2.281735604,-3.63,-4.5648,,,-6.0,-1.3,,-7.5495,,-5.67,,-2.8,,,,,-5.10160178,2.8169373831,-4.6074,0.4546680091,0.3762984372,-2.5
12.5,10.0,Central Mich.,New Mexico,6.5,,,10.0,,6.28,14.944,,,,,,,10.63,9.48,9.0,,8.8,,,,,10.34,13,,13.66,,,,0,,5.03,8.87,11.857886185,7.54,14.7251,,,13.6,14.6,,14.4445,,14.71,,8.54,,,,,10.827574309,3.2318272702,10.485,0.5144136076,0.7472402997,10.0
