architecture,architecture_name,line_reference,threshold,blocks,bets,wins,losses,pushes,ats_pct,wilson_low,wilson_high,units_flat,roi_flat,units_win1,roi_win1,profitable_blocks,max_drawdown_flat,max_drawdown_win1,longest_losing_streak
A,All-model consensus,Close (PT Updated/final),0.0,8,2374,1186,1188,52,0.4995787700084246,0.47948230111947604,0.5196765999612349,-109.81818181818188,-0.04625871180209852,-120.80000000000005,-0.046258711802098514,2,-126.72727272727383,-139.39999999999912,12
B,Prior-ranked Top-N consensus,Close (PT Updated/final),0.0,8,2374,1193,1181,52,0.5025273799494524,0.48242639655066033,0.5226201969650726,-96.4545454545455,-0.040629547369227255,-106.10000000000008,-0.04062954736922726,2,-118.81818181818346,-130.69999999999783,12
C,Best prior single model,Close (PT Updated/final),0.0,8,1714,850,864,38,0.4959159859976663,0.47228116741250276,0.5195690707002547,-91.2727272727273,-0.053251299459000756,-100.40000000000009,-0.05325129945900079,1,-107.72727272727374,-118.49999999999832,9
D,Top-N diversified model consensus,Close (PT Updated/final),0.0,8,2374,1178,1196,52,0.4962089300758214,0.4761184750781153,0.5163116346482853,-125.09090909090914,-0.0526920425825228,-137.60000000000008,-0.052692042582522816,3,-135.0000000000016,-148.4999999999982,12
E,Exact combinations → Top-50 → META,Close (PT Updated/final),0.0,8,1780,869,911,40,0.48820224719101124,0.46503089785929097,0.5114244107286463,-121.00000000000004,-0.06797752808988766,-133.10000000000005,-0.06797752808988766,0,-135.1818181818192,-148.699999999998,8
A,All-model consensus,Midweek,0.0,8,2382,1198,1184,44,0.5029387069689337,0.4828708869291889,0.5229970633991146,-94.90909090909096,-0.03984428669567211,-104.40000000000009,-0.03984428669567212,2,-108.27272727272847,-119.09999999999826,12
B,Prior-ranked Top-N consensus,Midweek,0.0,8,2382,1194,1188,44,0.5012594458438288,0.48119404725895293,0.5213207885960344,-102.5454545454546,-0.04305014884359975,-112.8000000000001,-0.043050148843599756,1,-119.09090909091067,-130.99999999999784,12
C,Best prior single model,Midweek,0.0,8,2238,1104,1134,42,0.4932975871313673,0.4726131560824718,0.5140049885714593,-130.36363636363635,-0.05825006093102607,-143.4000000000001,-0.05825006093102611,0,-146.909090909093,-161.5999999999966,11
D,Top-N diversified model consensus,Midweek,0.0,8,2382,1178,1204,44,0.4945424013434089,0.47448894807048836,0.5146134298912338,-133.0909090909091,-0.055873597435310285,-146.4000000000001,-0.05587359743531031,2,-144.00000000000193,-158.39999999999753,12
E,Exact combinations → Top-50 → META,Midweek,0.0,8,1584,762,822,29,0.4810606060606061,0.4565304131940439,0.505682442294816,-129.27272727272728,-0.08161157024793389,-142.20000000000005,-0.0816115702479339,2,-139.9090909090922,-153.89999999999793,8
A,All-model consensus,Open,0.0,8,2390,1180,1210,36,0.49372384937238495,0.4737056156514716,0.5137622268323419,-137.2727272727273,-0.05743628756181059,-151.0000000000001,-0.057436287561810614,2,-158.9090909090933,-174.7999999999967,12
B,Prior-ranked Top-N consensus,Open,0.0,8,2390,1179,1211,36,0.49330543933054394,0.47328809414432566,0.5133442711717421,-139.18181818181824,-0.05823507036896161,-153.10000000000008,-0.05823507036896161,1,-164.6363636363659,-181.09999999999627,9
C,Best prior single model,Open,0.0,8,2383,1203,1180,36,0.5048258497691985,0.4847597845875035,0.5248763806276495,-86.36363636363642,-0.03624155953153018,-95.00000000000011,-0.036241559531530194,1,-133.54545454545664,-146.8999999999973,13
D,Top-N diversified model consensus,Open,0.0,8,2390,1195,1195,36,0.5,0.47997011892318087,0.5200298810768191,-108.6363636363637,-0.04545454545454548,-119.50000000000011,-0.0454545454545455,2,-131.54545454545703,-144.69999999999732,9
E,Exact combinations → Top-50 → META,Open,0.0,8,2124,1052,1072,36,0.4952919020715631,0.4740563572561255,0.5165444468638805,-115.63636363636367,-0.05444273240883412,-127.20000000000009,-0.05444273240883414,1,-143.63636363636564,-157.99999999999704,10
