fold,line_reference,oos_start,oos_end,posting_models,ranked_models,D_communities,E_status,E_finalists,E_communities,E_evaluated_combinations
1,Open,2022 W14,2023 W4,60,35,1,ok,50,14,2006697
1,Midweek,2022 W14,2023 W4,60,35,2,ok,50,8,2006697
1,Close (PT Updated/final),2022 W14,2023 W4,60,35,1,ok,50,17,2006697
2,Open,2023 W5,2023 W10,58,35,4,ok,50,13,2006697
2,Midweek,2023 W5,2023 W10,58,35,2,ok,50,9,2006697
2,Close (PT Updated/final),2023 W5,2023 W10,58,35,2,ok,50,15,2006697
3,Open,2023 W11,2023 W19,60,35,2,ok,50,6,2006697
3,Midweek,2023 W11,2023 W19,60,35,3,ok,50,9,2006697
3,Close (PT Updated/final),2023 W11,2023 W19,60,35,4,ok,50,5,2006697
4,Open,2024 W2,2024 W7,57,35,3,ok,50,11,2006697
4,Midweek,2024 W2,2024 W7,57,35,2,ok,50,9,2006697
4,Close (PT Updated/final),2024 W2,2024 W7,57,35,3,ok,50,11,2006697
5,Open,2024 W8,2024 W13,60,35,4,ok,50,11,2006697
5,Midweek,2024 W8,2024 W13,60,35,4,ok,50,7,2006697
5,Close (PT Updated/final),2024 W8,2024 W13,60,35,3,ok,50,9,2006697
6,Open,2024 W14,2025 W3,61,35,2,ok,50,13,2006697
6,Midweek,2024 W14,2025 W3,61,35,6,ok,50,12,2006697
6,Close (PT Updated/final),2024 W14,2025 W3,61,35,5,ok,50,10,2006697
7,Open,2025 W4,2025 W9,59,35,5,ok,50,8,2006697
7,Midweek,2025 W4,2025 W9,59,35,5,ok,50,7,2006697
7,Close (PT Updated/final),2025 W4,2025 W9,59,35,5,ok,50,9,2006697
8,Open,2025 W10,2025 W15,60,35,3,ok,50,11,2006697
8,Midweek,2025 W10,2025 W15,60,35,7,ok,50,7,2006697
8,Close (PT Updated/final),2025 W10,2025 W15,60,35,6,ok,50,11,2006697
