architecture,architecture_name,line_reference,threshold,blocks,bets,wins,losses,pushes,ats_pct,wilson_low,wilson_high,units_flat,roi_flat,units_win1,roi_win1,profitable_blocks,max_drawdown_flat,max_drawdown_win1,longest_losing_streak
A,All-model consensus,Close (PT Updated/final),0.0,8,2374,1186,1188,52,0.4995787700084246,0.47948230111947604,0.5196765999612349,-109.81818181818188,-0.04625871180209852,-120.80000000000005,-0.046258711802098514,2,-126.72727272727383,-139.39999999999912,12
A,All-model consensus,Close (PT Updated/final),0.25,8,1595,799,796,35,0.5009404388714733,0.47642934867140463,0.5254470098121373,-69.63636363636368,-0.04365916215445999,-76.60000000000007,-0.043659162154459995,2,-95.36363636363716,-104.89999999999881,10
A,All-model consensus,Close (PT Updated/final),0.5,8,985,499,486,22,0.5065989847715736,0.4754113690192723,0.5377353270744196,-32.36363636363638,-0.032856483617904955,-35.60000000000002,-0.03285648361790496,3,-74.27272727272752,-81.70000000000024,10
A,All-model consensus,Close (PT Updated/final),0.75,8,554,273,281,12,0.4927797833935018,0.45134120445544645,0.5343178069915305,-32.81818181818183,-0.05923859533967839,-36.10000000000002,-0.0592385953396784,2,-58.45454545454554,-64.30000000000015,7
A,All-model consensus,Close (PT Updated/final),1.0,8,265,129,136,5,0.4867924528301887,0.42723248462145996,0.5467298783461758,-18.727272727272727,-0.07066895368782161,-20.600000000000016,-0.07066895368782167,3,-33.45454545454548,-36.80000000000002,8
A,All-model consensus,Close (PT Updated/final),1.25,8,129,61,68,3,0.4728682170542636,0.38874705666597537,0.5585586066202242,-12.545454545454549,-0.09725158562367867,-13.800000000000006,-0.09725158562367868,2,-17.818181818181838,-19.59999999999998,12
A,All-model consensus,Close (PT Updated/final),1.5,8,59,27,32,2,0.4576271186440678,0.3370110214024243,0.583423849765719,-7.454545454545455,-0.1263482280431433,-8.200000000000005,-0.12634822804314336,3,-10.363636363636363,-11.399999999999997,7
A,All-model consensus,Close (PT Updated/final),1.75,8,37,15,22,1,0.40540540540540543,0.26346295839940137,0.565143168686707,-8.363636363636363,-0.22604422604422603,-9.2,-0.226044226044226,2,-12.727272727272727,-13.999999999999995,7
A,All-model consensus,Close (PT Updated/final),2.0,8,19,8,11,1,0.42105263157894735,0.2314162039203038,0.6372444853483988,-3.7272727272727275,-0.19617224880382778,-4.100000000000001,-0.1961722488038278,1,-4.454545454545454,-4.9,4
B,Prior-ranked Top-N consensus,Close (PT Updated/final),0.0,8,2374,1193,1181,52,0.5025273799494524,0.48242639655066033,0.5226201969650726,-96.4545454545455,-0.040629547369227255,-106.10000000000008,-0.04062954736922726,2,-118.81818181818346,-130.69999999999783,12
B,Prior-ranked Top-N consensus,Close (PT Updated/final),0.25,8,1632,811,821,38,0.49693627450980393,0.4727138094751982,0.521173129211286,-83.72727272727273,-0.05130347593582888,-92.10000000000008,-0.05130347593582892,1,-108.0909090909101,-118.89999999999873,9
B,Prior-ranked Top-N consensus,Close (PT Updated/final),0.5,8,997,489,508,26,0.49047141424272817,0.459536303925068,0.5214796730287278,-63.454545454545475,-0.06364548190024621,-69.80000000000003,-0.06364548190024621,0,-81.5454545454549,-89.69999999999986,9
B,Prior-ranked Top-N consensus,Close (PT Updated/final),0.75,8,573,279,294,12,0.4869109947643979,0.4462085191745073,0.5277878084135169,-40.363636363636374,-0.07044264635887675,-44.40000000000002,-0.07044264635887675,2,-56.727272727272904,-62.40000000000027,7
B,Prior-ranked Top-N consensus,Close (PT Updated/final),1.0,8,291,137,154,4,0.47079037800687284,0.41419403222453877,0.5281478896752204,-29.454545454545453,-0.10121836925960637,-32.400000000000006,-0.10121836925960638,2,-40.27272727272724,-44.30000000000012,9
B,Prior-ranked Top-N consensus,Close (PT Updated/final),1.25,8,136,65,71,3,0.47794117647058826,0.3957536153824567,0.5613406970395979,-11.909090909090914,-0.08756684491978613,-13.100000000000005,-0.08756684491978611,1,-18.545454545454543,-20.39999999999999,6
B,Prior-ranked Top-N consensus,Close (PT Updated/final),1.5,8,74,33,41,2,0.44594594594594594,0.33815638584551055,0.5590708037292155,-11.000000000000002,-0.14864864864864868,-12.100000000000001,-0.14864864864864866,1,-13.272727272727273,-14.599999999999996,5
B,Prior-ranked Top-N consensus,Close (PT Updated/final),1.75,8,41,19,22,1,0.4634146341463415,0.32055999118185885,0.6125378465402564,-4.727272727272727,-0.11529933481152992,-5.200000000000001,-0.11529933481152996,3,-8.09090909090909,-8.899999999999997,5
B,Prior-ranked Top-N consensus,Close (PT Updated/final),2.0,8,25,12,13,1,0.48,0.30031003928960015,0.6650178204685269,-2.0909090909090917,-0.08363636363636368,-2.3000000000000007,-0.08363636363636365,2,-5.0,-5.5,5
C,Best prior single model,Close (PT Updated/final),0.0,8,1714,850,864,38,0.4959159859976663,0.47228116741250276,0.5195690707002547,-91.2727272727273,-0.053251299459000756,-100.40000000000009,-0.05325129945900079,1,-107.72727272727374,-118.49999999999832,9
C,Best prior single model,Close (PT Updated/final),0.25,8,1714,850,864,38,0.4959159859976663,0.47228116741250276,0.5195690707002547,-91.2727272727273,-0.053251299459000756,-100.40000000000009,-0.05325129945900079,1,-107.72727272727374,-118.49999999999832,9
C,Best prior single model,Close (PT Updated/final),0.5,8,1714,850,864,38,0.4959159859976663,0.47228116741250276,0.5195690707002547,-91.2727272727273,-0.053251299459000756,-100.40000000000009,-0.05325129945900079,1,-107.72727272727374,-118.49999999999832,9
