source_row,season,week,away,home,picker,candidate_matches,reason
0,2023,1,Florida International,Louisiana Tech,Beta_Rank,0,no_match
1,2023,1,Florida International,Louisiana Tech,Blake Atkinson,0,no_match
2,2023,1,Florida International,Louisiana Tech,CBCR2: Power,0,no_match
3,2023,1,Florida International,Louisiana Tech,CBCR2: Sam,0,no_match
4,2023,1,Florida International,Louisiana Tech,CFB Geek,0,no_match
5,2023,1,Florida International,Louisiana Tech,CFB Graphs,0,no_match
6,2023,1,Florida International,Louisiana Tech,Congrove,0,no_match
7,2023,1,Florida International,Louisiana Tech,DRatings,0,no_match
8,2023,1,Florida International,Louisiana Tech,Dokter Entropy,0,no_match
9,2023,1,Florida International,Louisiana Tech,ESPN FPI,0,no_match
10,2023,1,Florida International,Louisiana Tech,FEI,0,no_match
11,2023,1,Florida International,Louisiana Tech,Harville,0,no_match
12,2023,1,Florida International,Louisiana Tech,JP+,0,no_match
13,2023,1,Florida International,Louisiana Tech,KFord,0,no_match
14,2023,1,Florida International,Louisiana Tech,Keeper,0,no_match
15,2023,1,Florida International,Louisiana Tech,Massey,0,no_match
16,2023,1,Florida International,Louisiana Tech,Moore Ratings,0,no_match
17,2023,1,Florida International,Louisiana Tech,OddsTrader AI,0,no_match
18,2023,1,Florida International,Louisiana Tech,PiRate,0,no_match
19,2023,1,Florida International,Louisiana Tech,PiRate: Bias,0,no_match
20,2023,1,Florida International,Louisiana Tech,PiRate: Mean,0,no_match
21,2023,1,Florida International,Louisiana Tech,Power Rank,0,no_match
22,2023,1,Florida International,Louisiana Tech,Power Rank: Free,0,no_match
23,2023,1,Florida International,Louisiana Tech,Professor Sides,0,no_match
24,2023,1,Florida International,Louisiana Tech,Room44 Bets,0,no_match
25,2023,1,Florida International,Louisiana Tech,SP+,0,no_match
26,2023,1,Florida International,Louisiana Tech,Sagarin,0,no_match
27,2023,1,Florida International,Louisiana Tech,Sagarin: Golden,0,no_match
28,2023,1,Florida International,Louisiana Tech,Sagarin: Predictor,0,no_match
29,2023,1,Florida International,Louisiana Tech,Sagarin: Recent,0,no_match
30,2023,1,Florida International,Louisiana Tech,SportsLine,0,no_match
31,2023,1,Florida International,Louisiana Tech,TShoe Index,0,no_match
32,2023,1,Florida International,Louisiana Tech,TeamRankings,0,no_match
33,2023,1,Florida International,Louisiana Tech,Wilson Ratings,0,no_match
507,2023,2,Central Michigan,Michigan State,Beta_Rank,0,no_match
508,2023,2,Central Michigan,Michigan State,Blake Atkinson,0,no_match
509,2023,2,Central Michigan,Michigan State,CBCR2: Power,0,no_match
510,2023,2,Central Michigan,Michigan State,CBCR2: Sam,0,no_match
511,2023,2,Central Michigan,Michigan State,CFB Geek,0,no_match
512,2023,2,Central Michigan,Michigan State,CFB Graphs,0,no_match
513,2023,2,Central Michigan,Michigan State,Congrove,0,no_match
514,2023,2,Central Michigan,Michigan State,DRatings,0,no_match
515,2023,2,Central Michigan,Michigan State,Dokter Entropy,0,no_match
516,2023,2,Central Michigan,Michigan State,ESPN FPI,0,no_match
517,2023,2,Central Michigan,Michigan State,FEI,0,no_match
518,2023,2,Central Michigan,Michigan State,Harville,0,no_match
519,2023,2,Central Michigan,Michigan State,JP+,0,no_match
520,2023,2,Central Michigan,Michigan State,KFord,0,no_match
521,2023,2,Central Michigan,Michigan State,Keeper,0,no_match
522,2023,2,Central Michigan,Michigan State,Massey,0,no_match
523,2023,2,Central Michigan,Michigan State,Moore Ratings,0,no_match
524,2023,2,Central Michigan,Michigan State,OddsTrader AI,0,no_match
525,2023,2,Central Michigan,Michigan State,PiRate,0,no_match
526,2023,2,Central Michigan,Michigan State,PiRate: Bias,0,no_match
527,2023,2,Central Michigan,Michigan State,PiRate: Mean,0,no_match
528,2023,2,Central Michigan,Michigan State,Power Rank,0,no_match
529,2023,2,Central Michigan,Michigan State,Power Rank: Free,0,no_match
530,2023,2,Central Michigan,Michigan State,Professor Sides,0,no_match
531,2023,2,Central Michigan,Michigan State,Room44 Bets,0,no_match
532,2023,2,Central Michigan,Michigan State,SP+,0,no_match
533,2023,2,Central Michigan,Michigan State,Sagarin,0,no_match
534,2023,2,Central Michigan,Michigan State,Sagarin: Golden,0,no_match
535,2023,2,Central Michigan,Michigan State,Sagarin: Predictor,0,no_match
536,2023,2,Central Michigan,Michigan State,Sagarin: Recent,0,no_match
537,2023,2,Central Michigan,Michigan State,SportsLine,0,no_match
538,2023,2,Central Michigan,Michigan State,TShoe Index,0,no_match
