ranking_method,top_n,top_n_label,line_reference,edge_cutoff_points,bets,wins,losses,pushes,ats_pct,wilson_low,wilson_high,units_flat,roi_flat,profitable_folds
incremental,3,3,Close (PT Updated/final),0.0,1553,751,802,39,0.48358016741790083,0.45879677749213355,0.5084445911866068,-119.27272727272725,-0.07680149856582566,0
incremental,3,3,Close (PT Updated/final),0.5,890,424,466,24,0.4764044943820225,0.4437632599048878,0.5092485488988198,-80.54545454545456,-0.09050051072522984,2
incremental,3,3,Close (PT Updated/final),1.0,478,218,260,16,0.4560669456066946,0.41194339415638526,0.5008910310987194,-61.81818181818181,-0.12932674020540127,2
incremental,3,3,Close (PT Updated/final),1.5,342,156,186,11,0.45614035087719296,0.40413122719092687,0.5091238583742567,-44.18181818181819,-0.1291866028708134,1
incremental,3,3,Close (PT Updated/final),2.0,225,106,119,6,0.4711111111111111,0.40691984472825826,0.5362723021541266,-22.63636363636364,-0.10060606060606063,1
incremental,3,3,Close (PT Updated/final),3.0,81,37,44,2,0.4567901234567901,0.352731535009501,0.564761770161547,-10.363636363636367,-0.12794612794612797,1
incremental,3,3,Close (PT Updated/final),4.0,20,11,9,0,0.55,0.3420820083075997,0.7418049791429071,1.0,0.05,1
incremental,3,3,Midweek,0.0,1564,754,810,28,0.4820971867007673,0.4574068969870429,0.5068752090624458,-124.54545454545462,-0.07963264357126254,0
incremental,3,3,Midweek,0.5,962,468,494,21,0.4864864864864865,0.45501814066510926,0.5180623313294705,-68.54545454545456,-0.07125307125307127,2
incremental,3,3,Midweek,1.0,521,251,270,15,0.4817658349328215,0.4391503870787917,0.5246482142515906,-41.81818181818181,-0.08026522421915895,2
incremental,3,3,Midweek,1.5,374,174,200,9,0.46524064171123,0.4152984555955926,0.5158896401567016,-41.81818181818181,-0.11181332036947009,1
incremental,3,3,Midweek,2.0,237,118,119,6,0.4978902953586498,0.4347763946509493,0.5610714987362396,-11.727272727272734,-0.049482163406214065,0
incremental,3,3,Midweek,3.0,55,28,27,0,0.509090909090909,0.38076038407484447,0.636234395128984,-1.5454545454545467,-0.02809917355371903,2
incremental,3,3,Midweek,4.0,19,11,8,0,0.5789473684210527,0.36275551465160105,0.7685837960796962,2.0,0.10526315789473684,1
incremental,3,3,Open,0.0,1690,859,831,28,0.508284023668639,0.4844568363217774,0.532073635004467,-50.09090909090912,-0.029639591178052736,2
incremental,3,3,Open,0.5,911,461,450,10,0.5060373216245884,0.47361371657189666,0.538410222872921,-30.909090909090935,-0.033928749625785876,4
