ranking_method,top_n,top_n_label,line_reference,oos_games,market_mae,signal_mae,mae_improvement,market_rmse,signal_rmse,rmse_improvement,residual_corr,mean_gamma,median_gamma,positive_gamma_folds,folds
incremental,3,3,Close (PT Updated/final),1592,11.816116533735217,11.871393474815774,-0.055276941080556696,15.15798090847149,15.194973441164658,-0.03699253269316749,0.025384110309740658,0.19050957315943803,0.11239949531607754,7,8
incremental,3,3,Midweek,1592,11.82982880749987,11.882461712186245,-0.052632904686374715,15.178977143177127,15.208395171664208,-0.02941802848708086,0.0313085435409292,0.18965314327694643,0.12118374591123016,7,8
incremental,3,3,Open,1718,11.8132979796486,11.83112314529282,-0.017825165644218544,15.114107730306648,15.120074134101483,-0.005966403794834818,0.03088561389391855,0.2658811075558523,0.2151969489076632,8,8
incremental,5,5,Close (PT Updated/final),1819,11.867540849189014,11.877041199504628,-0.009500350315613915,15.110941785376019,15.117739721049286,-0.0067979356732674745,-0.007945973035766326,0.07668160672476786,0.03908372782142877,7,8
incremental,5,5,Midweek,2052,12.031299564737152,12.024220785581985,0.00707877915516697,15.342268827584833,15.298122667454027,0.04414616013080597,0.09764203977032133,0.11664485492769348,0.10561412237417664,8,8
incremental,5,5,Open,2190,11.953486303511891,11.962591788383175,-0.009105484871284375,15.177482090342691,15.188682945908765,-0.011200855566073642,0.023832189133443225,0.3152320947018312,0.3034198401538436,8,8
incremental,8,8,Close (PT Updated/final),2426,12.027713572824863,12.033750821633763,-0.0060372488088997756,15.255192815450512,15.252510942427099,0.0026818730234126065,0.00221192105909178,0.1012294806986472,0.12284185870302233,7,8
incremental,8,8,Midweek,2426,12.084795233670949,12.081329588604412,0.0034656450665373484,15.40269529800298,15.360243415710631,0.0424518822923492,0.0739525334764122,0.14177697837082157,0.15086119963455852,8,8
incremental,8,8,Open,2308,12.055893021807456,12.0554657952217,0.00042722658575655714,15.307270970365463,15.301822306025352,0.0054486643401112644,0.04135654544858525,0.34703509552131784,0.3492594490434239,8,8
incremental,10,10,Close (PT Updated/final),2426,12.027149960394288,12.031872319700303,-0.004722359306015278,15.2550385303133,15.252333878405292,0.00270465190800806,0.002279759480245436,0.10363137313457094,0.13340358021539414,7,8
incremental,10,10,Midweek,2426,12.084770273118034,12.0847905149721,-2.0241854066682663e-05,15.402706197306758,15.365744693597584,0.036961503709173726,0.06749103617760945,0.13222852267559346,0.1675197465832554,7,8
incremental,10,10,Open,2426,12.088022830804865,12.084389674838038,0.0036331559668276725,15.32135190064805,15.307775739714431,0.013576160933618908,0.048117662940386705,0.35242234595046645,0.35522775897476966,8,8
incremental,15,15,Close (PT Updated/final),2426,12.027149960394288,12.032623751452304,-0.00547379105801582,15.2550385303133,15.250754684188353,0.004283846124947033,0.010744896931226289,0.08199659220456441,0.11401506835940967,7,8
incremental,15,15,Midweek,2426,12.084770273118034,12.085313520360325,-0.000543247242291045,15.402706197306758,15.366444420150534,0.036261777156223474,0.08094592546856727,0.1283476539190882,0.15416898266827406,8,8
incremental,15,15,Open,2426,12.088022830804865,12.086660270281437,0.0013625605234288685,15.32135190064805,15.308827613384604,0.012524287263445899,0.047653827176259586,0.35675059734431214,0.3507653505756431,8,8
incremental,20,20,Close (PT Updated/final),2426,12.027149960394288,12.028165085878282,-0.0010151254839936286,15.2550385303133,15.250691516846594,0.004347013466706073,0.007263789478594194,0.050889832969067475,0.05233073075296951,7,8
incremental,20,20,Midweek,2426,12.084770273118034,12.084438885958093,0.0003313871599406326,15.402706197306758,15.369503401130071,0.03320279617668653,0.08139418953833492,0.09161170879153478,0.1131830640021968,7,8
incremental,20,20,Open,2426,12.088022830804865,12.086351046675855,0.0016717841290105895,15.32135190064805,15.309620623050405,0.011731277597645473,0.04548460702945015,0.3351402089111893,0.31741910100270193,8,8
incremental,25,25,Close (PT Updated/final),2426,12.027149960394288,12.025416460820686,0.0017334995736018044,15.2550385303133,15.251454840092707,0.0035836902205925725,0.00967110457441429,0.014139073127193577,0.02731973580119118,5,8
