Date,Bet,American Odds,Decimal Odds,Win/Loss,Profit if risk 1u,bet_team,bet_team_norm,bet_spread,is_moneyline,game_key,season,week,road,home,match_similarity,market_selected_spread,spread_difference,market_home_margin,actual_home_margin,consensus_home_margin,model_residual_home,adjusted_home_margin,adjusted_edge_home,model_edge_selected_side,adjusted_edge_selected_side,models_available,gamma
8/24/25,Stanford +2.5,-105,1.95,L,-1.0,Stanford,stanford,2.5,False,2025_w14_california_stanford,2025,14,California,Stanford,1.0,3.5,1.0,-3.5,21.0,-1.4716666666666667,2.0283333333333333,-3.3679587094462136,0.13204129055378644,2.0283333333333333,0.13204129055378644,6,0.07078141613474465
8/28/25,Boise State -5.5,-110,1.91,L,-1.0,Boise State,boise state,-5.5,False,2025_w2_boisestate_southflorida,2025,2,Boise St.,South Florida,1.0,-5.0,0.5,-5.0,27.0,-10.966666666666665,-5.966666666666665,-4.819092151613587,0.18090784838641305,5.966666666666665,-0.18090784838641305,9,-0.029778037512505295
8/28/25,Jax State +20.5,-105,1.95,W,0.95,Jax State,jacksonville state,20.5,False,2025_w2_jacksonvillestate_ucf,2025,2,Jacksonville St.,Central Florida,1.0,20.5,0.0,20.5,7.0,16.104444444444443,-4.395555555555557,20.24658677607663,-0.2534132239233706,4.395555555555557,0.2534132239233706,9,-0.029778037512505295
8/29/25,Central Michigan   +14.5,-110,1.91,W,0.91,Central Michigan,central michigan,14.5,False,2025_w2_centralmichigan_sanjosestate,2025,2,Central Mich.,San Jose St.,0.8571428571428571,14.0,0.5,14.0,-2.0,13.322222222222221,-0.6777777777777789,13.734662455185791,-0.26533754481420857,0.6777777777777789,0.26533754481420857,9,-0.029778037512505295
9/1/25,UNLV -7.5,-123,1.81,W,0.81,UNLV,unlv,-7.5,False,2025_w8_airforce_unlv,2025,8,Air Force,UNLV,1.0,-7.0,0.5,7.0,3.0,9.159,2.1590000000000007,6.956967676532863,-0.04303232346713681,2.1590000000000007,-0.04303232346713681,10,0.04083846384304679
8/31/25,Tulane -3.5,-130,1.77,W,0.77,Tulane,tulane,-3.5,False,2025_w12_memphis_tulane,2025,12,Tulane,Memphis,1.0,-3.5,0.0,-3.5,6.0,-8.455,-4.955,-3.862248932120514,-0.3622489321205138,4.955,0.3622489321205138,10,0.07078141613474465
9/3/25,Utah State -5.5,-105,1.95,W,0.95,Utah State,utah state,-5.5,False,2025_w13_unlv_utahstate,2025,13,Utah St.,UNLV,1.0,-6.0,0.5,-6.0,-3.0,-5.0616666666666665,0.9383333333333335,-5.926585478604537,0.07341452139546334,-0.9383333333333335,-0.07341452139546334,6,0.07078141613474465
9/4/25,UVA -13.5,-110,1.91,W,0.91,UVA,virginia,-13.5,False,2025_w2_coastalcarolina_virginia,2025,2,Coastal Carolina,Virginia,1.0,-12.0,1.5,12.0,41.0,10.257777777777779,-1.742222222222221,11.79675453877905,-0.20324546122095022,-1.742222222222221,-0.20324546122095022,9,-0.029778037512505295
8/31/25,South Carolina -7,-110,1.91,W,0.91,South Carolina,south carolina,-7.0,False,2025_w6_kentucky_southcarolina,2025,6,Kentucky,South Carolina,1.0,-5.5,1.5,5.5,22.0,5.978571428571428,0.47857142857142776,5.399742821694287,-0.10025717830571335,0.47857142857142776,-0.10025717830571335,7,0.04083846384304679
9/6/25,Louisville -10.5,-170,1.59,W,0.59,Louisville,louisville,-10.5,False,2025_w11_louisville_virginiatech,2025,11,Louisville,Virginia Tech,1.0,-10.0,0.5,-10.0,-12.0,-10.232,-0.23199999999999932,-9.979783370201888,0.020216629798111896,0.23199999999999932,-0.020216629798111896,10,0.07078141613474465
9/9/25,ISU -2.5,-131,1.76,W,0.76,ISU,iowa state,-2.5,False,2025_w10_byu_iowastate,2025,10,BYU,Iowa St.,1.0,-2.5,0.0,2.5,-14.0,-0.711,-3.211,2.2167339189899637,-0.28326608101003625,-3.211,-0.28326608101003625,10,0.07078141613474465
9/11/25,Syracuse -5.5,-145,1.69,W,0.69,Syracuse,syracuse,-5.5,False,2025_w11_northcarolina_syracuse,2025,11,North Carolina,Syracuse,1.0,-2.5,3.0,2.5,-17.0,4.874,2.3739999999999997,2.6120481281025127,0.11204812810251275,2.3739999999999997,0.11204812810251275,10,0.07078141613474465
9/15/25,Miss St -6.5,-151,1.66,W,0.66,Miss St,miss state,-6.5,False,2025_w14_kennesawstate_missouristate,2025,14,Missouri St.,Kennesaw St.,0.8333333333333334,-6.5,0.0,-6.5,-7.0,-6.533000000000001,-0.03300000000000125,-6.491632832591042,0.008367167408957599,0.03300000000000125,-0.008367167408957599,10,0.07078141613474465
9/17/25,Marshall -8.5,-102,1.98,L,-1.0,Marshall,marshall,-8.5,False,2025_w15_georgiasouthern_marshall,2025,15,Georgia Southern,Marshall,1.0,-10.0,1.5,10.0,-5.0,10.190000000000001,0.19000000000000128,9.901886591978585,-0.09811340802141544,0.19000000000000128,-0.09811340802141544,9,0.07078141613474465
9/18/25,Memphis -13.5,-113,1.88,W,0.88,Memphis,memphis,-13.5,False,2025_w11_memphis_rice,2025,11,Memphis,Rice,1.0,-13.5,0.0,-13.5,-24.0,-17.653000000000002,-4.153000000000002,-13.731382338666252,-0.23138233866625235,4.153000000000002,0.23138233866625235,10,0.07078141613474465
9/19/25,UNC -13.5,-107,1.93,W,0.93,UNC,north carolina,-13.5,False,2025_w10_northcarolina_virginia,2025,10,Virginia,North Carolina,1.0,-10.5,3.0,10.5,1.0,10.758999999999999,0.25899999999999856,10.403065514806174,-0.09693448519382564,0.25899999999999856,-0.09693448519382564,10,0.07078141613474465
9/21/25,USC -27.5,-129,1.78,W,0.78,USC,usc,-27.5,False,2025_w3_georgiasouthern_usc,2025,3,Georgia Southern,USC,1.0,-29.0,1.5,29.0,39.0,27.90285714285714,-1.0971428571428596,28.51918769677597,-0.480812303224031,-1.0971428571428596,-0.480812303224031,7,-0.029778037512505295
9/22/25,Washington State -1.5,-106,1.94,W,0.94,Washington State,washington state,-1.5,False,2025_w3_sandiegostate_washingtonstate,2025,3,San Diego St.,Washington St.,1.0,-2.0,0.5,2.0,23.0,8.028571428571428,6.0285714285714285,1.7173306389268377,-0.2826693610731623,6.0285714285714285,-0.2826693610731623,7,-0.029778037512505295
12-Sep,Houston -2.5,-159,1.63,W,0.63,Houston,houston,-2.5,False,2025_w15_baylor_houston,2025,15,Houston,Baylor,1.0,-2.5,0.0,-2.5,7.0,-2.477777777777778,0.022222222222222143,-2.517364084585724,-0.017364084585723916,-0.022222222222222143,0.017364084585723916,9,0.07078141613474465
13-Sep,Arizona +3.5,-156,1.64,W,0.64,Arizona,arizona,3.5,False,2025_w12_arizona_kansas,2025,12,Kansas,Arizona,1.0,4.5,1.0,-4.5,-4.0,-6.879,-2.3789999999999996,-4.672506014385992,-0.17250601438599222,-2.3789999999999996,-0.17250601438599222,10,0.07078141613474465
14-Sep,Clemson -2.5,-114,1.88,L,-1.0,Clemson,clemson,-2.5,False,2025_w4_clemson_georgiatech,2025,4,Clemson,Georgia Tech,1.0,-3.0,0.5,-3.0,3.0,-2.649,0.351,-3.040859821985152,-0.040859821985152145,-0.351,0.040859821985152145,10,0.04083846384304679
17-Sep,Bowling Green +6.5,-133,1.75,W,0.75,Bowling Green,bowling green,6.5,False,2025_w6_bowlinggreen_ohio,2025,6,Bowling Green,Ohio,1.0,7.5,1.0,7.5,15.0,9.524000000000001,2.024000000000001,7.447654061708541,-0.052345938291458616,-2.024000000000001,0.052345938291458616,10,0.04083846384304679
22-Sep,Miss St -6.5,-104,1.96,L,-1.0,Miss St,miss state,-6.5,False,2025_w14_kennesawstate_missouristate,2025,14,Missouri St.,Kennesaw St.,0.8333333333333334,-6.5,0.0,-6.5,-7.0,-6.533000000000001,-0.03300000000000125,-6.491632832591042,0.008367167408957599,0.03300000000000125,-0.008367167408957599,10,0.07078141613474465
24-Sep,Vanderbilt +3.5,-122,1.82,W,0.82,Vanderbilt,vanderbilt,3.5,False,2025_w3_vanderbilt_virginiatech,2025,3,Vanderbilt,Virginia Tech,1.0,2.5,1.0,2.5,-24.0,0.42142857142857143,-2.0785714285714287,2.451146688796924,-0.04885331120307601,2.0785714285714287,0.04885331120307601,7,-0.029778037512505295
27-Sep,Minnesota -1.5,-119,1.84,L,-1.0,Minnesota,minnesota,-1.5,False,2025_w15_minnesota_wisconsin,2025,15,Wisconsin,Minnesota,1.0,-2.5,1.0,2.5,-10.0,1.414,-1.086,2.3671444282762963,-0.13285557172370366,-1.086,-0.13285557172370366,5,0.07078141613474465
20-Sep,Bowling Green +26.5,-102,1.98,W,0.98,Bowling Green,bowling green,26.5,False,2025_w5_bowlinggreen_louisville,2025,5,Bowling Green,Louisville,1.0,26.5,0.0,26.5,23.0,22.752,-3.748000000000001,26.06751840459707,-0.43248159540292974,3.748000000000001,0.43248159540292974,10,0.04083846384304679
21-Sep,Memphis +7.5,-122,1.82,W,0.82,Memphis,memphis,7.5,False,2025_w5_arkansas_memphis,2025,5,Arkansas,Memphis,1.0,7.5,0.0,-7.5,1.0,-5.331999999999999,2.168000000000001,-7.43245253333274,0.06754746666725975,2.168000000000001,0.06754746666725975,10,0.04083846384304679
22-Sep,Army +3.5,-138,1.72,L,-1.0,Army,army,3.5,False,2025_w6_army_eastcarolina,2025,6,Army,East Carolina,1.0,4.0,0.5,4.0,22.0,0.6940000000000001,-3.306,3.7565880048636764,-0.2434119951363236,3.306,0.2434119951363236,10,0.04083846384304679
25-Sep,Western Kentucky -6.5,-144,1.69,W,0.69,Western Kentucky,western kentucky,-6.5,False,2025_w3_toledo_westernkentucky,2025,3,Western Kentucky,Toledo,1.0,-7.0,0.5,-7.0,-24.0,-5.834285714285714,1.1657142857142864,-7.001085442170454,-0.0010854421704538098,-1.1657142857142864,0.0010854421704538098,7,-0.029778037512505295
26-Sep,Louisiana Tech -2.5,-133,1.75,W,0.75,Louisiana Tech,louisiana tech,-2.5,False,2025_w6_louisianatech_utep,2025,6,Louisiana Tech,UTEP,1.0,-3.5,1.0,-3.5,-19.0,-5.524285714285715,-2.024285714285715,-3.6340624195394047,-0.13406241953940468,2.024285714285715,0.13406241953940468,7,0.04083846384304679
27-Sep,Stanford +17.5,-124,1.81,L,-1.0,Stanford,stanford,17.5,False,2025_w9_floridastate_stanford,2025,9,Florida St.,Stanford,1.0,18.0,0.5,-18.0,7.0,-16.505714285714284,1.4942857142857164,-17.880157123514703,0.11984287648529701,1.4942857142857164,0.11984287648529701,7,0.04083846384304679
28-Sep,Vanderbilt -26.5,-140,1.71,W,0.71,Vanderbilt,vanderbilt,-26.5,False,2025_w5_georgiastate_vanderbilt,2025,5,Georgia St.,Vanderbilt,1.0,-28.0,1.5,28.0,49.0,32.91,4.909999999999997,27.90969655793364,-0.09030344206636087,4.909999999999997,-0.09030344206636087,7,0.04083846384304679
29-Sep,Syracuse +4.5,-111,1.9,L,-1.0,Syracuse,syracuse,4.5,False,2025_w6_duke_syracuse,2025,6,Duke,Syracuse,1.0,4.5,0.0,-4.5,-35.0,2.61,7.109999999999999,-4.253431378253467,0.24656862174653327,7.109999999999999,0.24656862174653327,10,0.04083846384304679
