canonical_model_id,model_name,predictions,bets,wins,losses,pushes,units,mae,bias,ats_pct,roi,wilson_low,seasons,rank,pool_rank,fold,line_reference,ranking_method,incremental_corr,incremental_gamma,incremental_score,residual_mae
massey,Massey Ratings,1425.0,1382,728.0,654.0,41.0,7.818181818181801,12.977761403508772,-0.18466666666666676,0.5267727930535456,0.005657150374950652,0.5004116688936594,2.0,1.0,1,1,Open,wilson,,,,
linept_round,lineround,1034.0,956,498.0,458.0,31.0,-5.272727272727284,13.359767891682786,0.27852998065764023,0.5209205020920502,-0.005515405096995067,0.4892329689249496,2.0,2.0,2,1,Open,wilson,,,,
linept_bihl,Bihl System,750.0,729,383.0,346.0,21.0,2.181818181818174,13.006906666666664,-0.2236,0.5253772290809328,0.00299289188178076,0.48909024078441676,2.0,3.0,3,1,Open,wilson,,,,
linept_rwp,Laffaye RWP,1311.0,1272,656.0,616.0,38.0,-19.636363636363654,13.747955758962624,0.25489702517162466,0.5157232704402516,-0.015437392795883376,0.4882535234762215,2.0,4.0,4,1,Open,wilson,,,,
keeper,Keeper,1418.0,1376,708.0,668.0,41.0,-24.36363636363638,13.362827926657262,-0.16398448519040898,0.5145348837209303,-0.017706131078224115,0.4881237931628594,2.0,5.0,5,1,Open,wilson,,,,
linept_elo,Beck Elo,1425.0,1382,711.0,671.0,41.0,-24.636363636363654,13.35094035087719,-0.30385263157894743,0.5144717800289436,-0.017826601762925946,0.4881180913018758,2.0,6.0,6,1,Open,wilson,,,,
linept_argh,Argh Ratings,1425.0,1302,668.0,634.0,41.0,-26.727272727272744,13.313157894736841,-0.0412280701754386,0.5130568356374808,-0.02052785923753667,0.48590869667788283,2.0,7.0,7,1,Open,wilson,,,,
linept_how,Howell,1423.0,1339,686.0,653.0,41.0,-29.36363636363638,13.450091356289532,-0.29762473647224175,0.5123226288274833,-0.021929526783895727,0.48555274807823207,2.0,9.0,8,1,Open,wilson,,,,
espn_fpi,ESPN FPI,1425.0,1380,704.0,676.0,41.0,-36.00000000000002,12.69581754385965,-0.28245614035087735,0.5101449275362319,-0.026086956521739146,0.48377858582693767,2.0,10.0,9,1,Open,wilson,,,,
congrove,Congrove Computer Rankings,1424.0,1379,703.0,676.0,41.0,-36.90909090909093,13.401362359550562,0.10431179775280912,0.5097897026831038,-0.026765113059529316,0.483414433639725,2.0,11.0,10,1,Open,wilson,,,,
linept_paynewl,linepaynewl,1425.0,1382,702.0,680.0,41.0,-41.81818181818184,13.980715789473681,0.14008421052631578,0.507959479015919,-0.030259176424154734,0.48161617023822134,2.0,12.0,11,1,Open,wilson,,,,
linept_payne,linepayne,1425.0,1382,701.0,681.0,41.0,-43.72727272727275,13.265887719298245,0.15075789473684206,0.5072358900144718,-0.031640573608735706,0.480894009626604,2.0,13.0,12,1,Open,wilson,,,,
linept_laz,Laz Index,1423.0,1381,698.0,683.0,41.0,-48.454545454545475,13.045172171468728,-0.17560084328882639,0.5054308472121651,-0.03508656441313937,0.4790832566064575,2.0,14.0,13,1,Open,wilson,,,,
linept_loud,Loudsound.org,1408.0,1315,665.0,650.0,40.0,-45.454545454545475,14.417613636363637,0.30113636363636365,0.5057034220532319,-0.03456619426201177,0.4787035986124561,2.0,15.0,14,1,Open,wilson,,,,
dokter_entropy,Dokter Entropy,1424.0,1382,696.0,686.0,41.0,-53.272727272727295,12.690730337078653,-0.39092696629213486,0.5036179450072359,-0.03854755953164059,0.4772840314575398,2.0,16.0,15,1,Open,wilson,,,,
linept_kerns,Stephen Kerns,1425.0,1379,694.0,685.0,41.0,-54.09090909090911,14.026224561403508,0.42268771929824556,0.5032632342277013,-0.03922473465620675,0.4769016173373062,2.0,17.0,16,1,Open,wilson,,,,
linecfbp_professor_sides,Professor Sides,931.0,893,455.0,438.0,27.0,-24.363636363636374,12.87798066595059,-0.036090225563909735,0.509518477043673,-0.027282907462078808,0.47676007274734766,2.0,18.0,17,1,Open,wilson,,,,
linept_bill,Billingsley,1424.0,1383,695.0,688.0,41.0,-56.1818181818182,13.716088483146066,-0.11184691011235953,0.502530730296457,-0.04062315125221851,0.4762089769313904,2.0,19.0,18,1,Open,wilson,,,,
linecfbp_power_rank_free,Power Rank: Free,427.0,418,219.0,199.0,9.0,0.09090909090908506,12.80023419203747,-1.3637002341920377,0.5239234449760766,0.00021748586341886376,0.4760459973027177,1.0,20.0,19,1,Open,wilson,,,,
linept_dunk,Dunkel Index,1256.0,1223,616.0,607.0,33.0,-47.00000000000002,13.381942675159237,-0.40136942675159226,0.5036794766966476,-0.038430089942763715,0.47569024648108876,2.0,21.0,20,1,Open,wilson,,,,
harville,David Harville,1425.0,1382,692.0,690.0,41.0,-60.90909090909093,12.848287719298243,-0.17564210526315788,0.5007235890014472,-0.044073148269964495,0.474397038649562,2.0,23.0,21,1,Open,wilson,,,,
linecfbp_sp,SP+,933.0,894,453.0,441.0,27.0,-29.181818181818194,12.872454448017148,-0.0006430868167204643,0.5067114093959731,-0.03264185478950581,0.4739803182994178,2.0,24.0,22,1,Open,wilson,,,,
