ranking_method,top_n,top_n_label,line_reference,model_residual_bin,games,mean_model_residual,mean_actual_residual,median_actual_residual
incremental,3,3,Close (PT Updated/final),≤-7,49,-9.11190476190476,-1.846938775510204,-1.5
incremental,3,3,Close (PT Updated/final),-7 to -4,175,-5.216400000000001,-1.1142857142857143,0.5
incremental,3,3,Close (PT Updated/final),-4 to -2,222,-2.882687687687688,-0.20270270270270271,-0.5
incremental,3,3,Close (PT Updated/final),-2 to 0,311,-0.9657609860664523,-1.2009646302250805,-1.5
incremental,3,3,Close (PT Updated/final),0 to 2,361,0.9266481994459833,0.49445983379501385,0.5
incremental,3,3,Close (PT Updated/final),2 to 4,245,2.901523809523809,1.3918367346938776,1.5
incremental,3,3,Close (PT Updated/final),4 to 7,161,5.344451345755694,-2.7142857142857144,-1.5
incremental,3,3,Close (PT Updated/final),≥7,68,8.858039215686276,2.088235294117647,-0.5
incremental,3,3,Midweek,≤-7,56,-8.827916666666665,-1.3839285714285714,-0.25
incremental,3,3,Midweek,-7 to -4,147,-5.282675736961451,-2.7687074829931975,-3.0
incremental,3,3,Midweek,-4 to -2,233,-2.8737625178826893,-0.6931330472103004,-0.5
incremental,3,3,Midweek,-2 to 0,331,-0.9170040281973818,0.42749244712990936,0.5
incremental,3,3,Midweek,0 to 2,350,0.9195238095238093,-0.16142857142857142,0.0
incremental,3,3,Midweek,2 to 4,250,2.8575200000000005,1.266,1.5
incremental,3,3,Midweek,4 to 7,159,5.258301886792452,-2.1949685534591197,-1.5
incremental,3,3,Midweek,≥7,66,8.829545454545455,1.5227272727272727,-1.0
incremental,3,3,Open,≤-7,64,-9.4221875,0.0,-0.75
incremental,3,3,Open,-7 to -4,146,-5.119200913242009,-1.3527397260273972,-1.5
incremental,3,3,Open,-4 to -2,230,-2.9069927536231885,-0.13260869565217392,1.5
incremental,3,3,Open,-2 to 0,407,-0.981019656019656,-0.257985257985258,0.0
incremental,3,3,Open,0 to 2,391,0.9893734015345268,-0.00639386189258312,0.5
incremental,3,3,Open,2 to 4,263,2.8483016476552594,0.7034220532319392,0.5
incremental,3,3,Open,4 to 7,169,5.198570019723865,-0.16272189349112426,0.0
incremental,3,3,Open,≥7,48,9.415833333333333,0.84375,-0.25
incremental,5,5,Close (PT Updated/final),≤-7,53,-9.092182389937106,1.8396226415094339,3.0
incremental,5,5,Close (PT Updated/final),-7 to -4,183,-5.20235883424408,-1.1584699453551912,-0.5
incremental,5,5,Close (PT Updated/final),-4 to -2,283,-2.989875736160189,0.39045936395759717,0.0
incremental,5,5,Close (PT Updated/final),-2 to 0,380,-0.9316429824561404,-1.180263157894737,-1.0
incremental,5,5,Close (PT Updated/final),0 to 2,407,1.0018013923013922,-0.15356265356265356,0.5
incremental,5,5,Close (PT Updated/final),2 to 4,249,2.8781070950468544,0.16265060240963855,0.0
incremental,5,5,Close (PT Updated/final),4 to 7,209,5.174317384370015,-1.2129186602870814,-0.5
incremental,5,5,Close (PT Updated/final),≥7,55,9.095612121212122,-1.3909090909090909,-1.0
incremental,5,5,Midweek,≤-7,54,-8.579771604938271,-0.018518518518518517,3.5
