model_a,model_b,model_a_name,model_b_name,n_common,meets_min_common,prediction_correlation,edge_correlation,error_correlation,same_side_rate,mean_absolute_prediction_difference,mean_absolute_edge_difference,a_lower_error_rate,b_lower_error_rate,a_only_ats_correct,b_only_ats_correct
linecfbp_cfbwe,linecfbp_cfbwe_rounded,CFBWE,CFBWE: Rounded,516,True,0.9993329518647074,0.9963668775253782,0.9996705853608858,0.9775051124744376,0.34728682170542635,0.34728682170542635,0.5147058823529411,0.4852941176470588,14,9
linecfbp_wilson_ratings,linept_wayward,Wilson Ratings,Waywardtrends,1051,True,0.9988428378585141,0.9618958241833316,0.999046177187577,0.9170684667309547,0.5512559467174121,0.9425023786869647,0.5211538461538462,0.47884615384615387,57,63
linecfbp_sv_bettor,linept_how,SV Bettor,Howell,505,True,0.9902197739054782,0.9544021093355497,0.9944012720204982,0.9665271966527197,0.46469306930693066,0.8925346534653466,0.5064935064935064,0.4935064935064935,11,19
piratings,piratings_mean,Pi-Ratings,Pi-Ratings Mean,3943,True,0.9950924647112059,0.9506559112435531,0.9953578270815243,0.9228179228179229,1.0874182094851637,1.0874182094851637,0.47339449541284406,0.5266055045871559,173,150
piratings_bias,piratings_mean,PI-Rate Bias,Pi-Ratings Mean,3943,True,0.9969108359678608,0.9495713463605592,0.9953758674753571,0.9014485256078634,1.1635150900329698,1.1635150900329698,0.4620617477760335,0.5379382522239665,221,192
linept_payne,linept_paynewl,linepayne,linepaynewl,3124,True,0.9676552222601239,0.9389512582125833,0.9821687953387729,0.8970493906350224,2.489647887323944,2.489647887323944,0.5789810958026274,0.42101890419737265,159,159
piratings,piratings_bias,Pi-Ratings,PI-Rate Bias,3943,True,0.9949950912587461,0.9380557807638192,0.9944900058539805,0.8987635239567233,1.2071595232056809,1.2071595232056809,0.5039246467817896,0.49607535321821034,206,212
sagarin,sagarin_predictor,Sagarin Ratings,Sagarin Predictor,3943,True,0.9933818802218785,0.9270111144585235,0.9954116958466813,0.8798676508017307,1.1298782652802435,1.1298782652802435,0.5091189314153609,0.4908810685846391,232,238
linecfbp_cfbwe,linecfbp_cfbwe_average,CFBWE,CFBWE: Average,516,True,0.9851457090323179,0.9235076743900803,0.992793213883396,0.8700787401574803,1.4397286821705428,1.4397286821705428,0.4871287128712871,0.5128712871287129,34,34
linecfbp_dratings,linept_donchess,DRatings,Donchess Inference,2591,True,0.995258761312898,0.9232723824592811,0.9964611592401086,0.9270625747309685,0.3602277113083753,0.9362292551138558,0.468363136176066,0.5316368638239339,133,117
linecfbp_cfbwe_average,linecfbp_cfbwe_rounded,CFBWE: Average,CFBWE: Rounded,516,True,0.9848791365761552,0.9210730148097275,0.992588826524805,0.8775510204081632,1.4664728682170542,1.4664728682170542,0.5128205128205128,0.48717948717948717,40,35
linecfbp_cfbwe_average,linecfbp_cfbwe_talent,CFBWE: Average,CFBWE: Talent,516,True,0.8992504710555366,0.8641327443727975,0.9611998266588645,0.8414872798434442,3.812790697674419,3.812790697674419,0.56640625,0.43359375,42,37
sagarin,sagarin_golden_mean,Sagarin Ratings,Sagarin Golden Mean,3943,True,0.9841447440082858,0.8597020355786602,0.9887956274088295,0.8570338336301195,1.4791174232817652,1.4791174232817652,0.5237231008555873,0.47627689914441274,271,281
linecfbp_sportsratings,linept_pugh,SportsRatings,Pugh Ratings,503,True,0.9815324629058498,0.8392037880700052,0.9765161235059208,0.82,2.2596023856858847,2.4453677932405564,0.48902195608782434,0.5109780439121756,52,43
linecfbp_obmodel,linecfbp_sp,OBModel,SP+,507,True,0.9855143475414198,0.8174220068749429,0.9879160588947854,0.8817635270541082,1.3057199211045365,1.3057199211045365,0.4711934156378601,0.5288065843621399,32,29
linecfbp_john_harris,linecfbp_kford,John Harris,KFord,1097,True,0.9918097074512796,0.8139829784851415,0.9922563462706562,0.8289719626168224,1.3681859617137648,1.3681859617137648,0.5160075329566854,0.4839924670433145,100,91
linept_argh,linept_how,Argh Ratings,Howell,3133,True,0.9569377564926766,0.8127831505081946,0.972191215421951,0.8478708791208791,2.8769645706990103,2.8769645706990103,0.5147563486616334,0.4852436513383665,280,263
linecfbp_kford,teamrankings,KFord,TeamRankings.com,1613,True,0.9935932106640593,0.8127698775581721,0.9925273425354775,0.8025396825396826,1.353384996900186,1.6237259764414136,0.514030612244898,0.48596938775510207,183,166
linecfbp_sv_bettor,linept_paynewl,SV Bettor,linepaynewl,507,True,0.9155469268555008,0.8082464992212152,0.9585114928180419,0.8234086242299795,3.8446745562130182,3.8759960552268247,0.5445544554455446,0.45544554455445546,47,48
linecfbp_sv_bettor,linept_argh,SV Bettor,Argh Ratings,507,True,0.950122794196092,0.793420323149305,0.9720240503290153,0.843010752688172,2.786686390532544,2.950394477317554,0.5075921908893709,0.4924078091106291,47,48
sagarin,sagarin_recent,Sagarin Ratings,Sagarin Recent,3943,True,0.9834035528878052,0.7693563086554644,0.9816589448758272,0.8037668617968949,1.9763961450672078,1.9763961450672078,0.520164397636784,0.47983560236321604,397,368
linecfbp_cfbwe,linecfbp_cfbwe_talent,CFBWE,CFBWE: Talent,516,True,0.8659067413964244,0.7666561128473511,0.9456843296565669,0.777120315581854,4.425387596899225,4.425387596899225,0.5692007797270955,0.43079922027290446,59,54
