canonical_model_id,model_name,source_coverage,n_source_members,source_specific_model_ids,source_model_names,relationship,preferred_source,include_default,notes,first_season,last_season,seasons_active,source_records
linept_argh,Argh Ratings,predictiontracker,1,linept_argh,Argh Ratings,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2024,4,3135
linept_elo,Beck Elo,predictiontracker,1,linept_elo,Beck Elo,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2025,5,3896
linecfbp_beta_rank,Beta_Rank,cfbpicker,1,linecfbp_beta_rank,Beta_Rank,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2021,2025,5,2638
linept_big200,Big 200,predictiontracker,1,linept_big200,Big 200,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2024,2025,2,1558
linept_bihl,Bihl System,predictiontracker,1,linept_bihl,Bihl System,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2025,5,2161
linept_bill,Billingsley,predictiontracker,1,linept_bill,Billingsley,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2025,5,3895
linecfbp_blake_atkinson,Blake Atkinson,cfbpicker,1,linecfbp_blake_atkinson,Blake Atkinson,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2023,2023,1,515
linept_born,Born Power Index,predictiontracker,1,linept_born,Born Power Index,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2024,4,3133
linecfbp_cbcr2_power,CBCR2: Power,cfbpicker,1,linecfbp_cbcr2_power,CBCR2: Power,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2023,2024,2,1063
linecfbp_cbcr2_sam,CBCR2: Sam,cfbpicker,1,linecfbp_cbcr2_sam,CBCR2: Sam,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2023,2023,1,515
linecfbp_cfb_geek,CFB Geek,cfbpicker,1,linecfbp_cfb_geek,CFB Geek,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2021,2025,4,2122
linecfbp_cfb_graphs,CFB Graphs,cfbpicker,1,linecfbp_cfb_graphs,CFB Graphs,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2022,2025,4,2128
linecfbp_cfb_professor,CFB Professor,cfbpicker,1,linecfbp_cfb_professor,CFB Professor,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2021,2022,2,1022
