season,week,home,road,line,actual,hscore,vscore,linesag,linepayne,linemass,linepfz,linelaz,linemoore,linesagr,lineargh,linepaynep,linehow,linesagpred,linepaynewl,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linesuper,linedunk,linebill,linebihl,lineround,linefei,linemedian,lineharville,linesaggm,lineespn,linefox,lineopen,linepig,linecons,linecong,linepibias,linel2,lineteamrank,lineash,linepimean,lineca,linekeep,linekerns,linel2hf,linelog,lineatom,linedwig,linepiratings,linecather,linetalis,linedonchess,linefeng,linemidweek,lineclean,linecurry,linepugh,linestd,total,phcover,phwin
2022,1,Florida Atlantic,Charlotte,7.0,30,43,13,10.72,8.58,5.34,14.79,9.9,6.08,10.72,5.0,8.71,10.5,10.72,7.43,12.05,6.51,9.13,7.06,,11.55,11.07,,,3.63,,,14.5,9.91,6.67,10.72,,,6.5,10.0,9.66,4.04,5.9,,11.3,,5.8,7.5,9.92,9.75,,,,8.0,4.9,10,11.55,11.4,,7.5,10.0,9.19,10.68,2.89,56,0.552510945,0.7142474719
2022,1,Hawaii,Vanderbilt,-9.5,-53,10,63,2.95,-0.59,1.3,16.19,8.01,12.47,2.95,4.0,-1.07,13.5,2.95,3.7,7.04,12.49,4.69,12.63,,11.95,-0.55,,,10.5,,,3.5,4.25,4.5,2.95,,,-7.0,-10.0,5.7,-11.95,-6.4,,9.3,,-8.8,-8.5,-4.05,13.05,,,,-1.0,-9.1,6,11.75,15.0,,-8.5,17.5,11.85,-0.6,7.62,73,0.7898454335,0.6050177264
2022,1,Illinois,Wyoming,14.0,32,38,6,3.72,10.04,11.11,2.66,7.36,-1.75,3.72,6.0,10.64,0.01,3.72,4.67,8.42,7.37,8.77,9.12,,18.45,15.0,,,0.5,,,0.8,9.14,11.9,3.72,,,10.5,16.0,10.45,22.65,19.1,,10.9,,20.0,13.0,19.09,3.45,,,,12.0,22.0,-9,9.16,2.7,,11.0,9.5,12.76,10.53,6.99,44,0.3815179261,0.6934203219
2022,1,Nebraska,Northwestern,11.0,-3,28,31,5.23,15.11,6.79,12.93,7.37,-1.85,5.23,-2.0,16.49,0.5,5.23,2.65,15.32,5.42,10.47,11.71,,22.3,8.38,,,2.29,,,12.3,10.59,9.38,5.23,,,12.0,9.0,11.75,1.39,11.3,,18.3,,9.3,11.0,24.18,19.65,,,,19.0,10.4,18,20.18,13.7,,13.5,13.5,10.77,15.74,6.65,59,0.4877166344,0.7285191815
2022,1,New Mexico St.,Nevada,-8.0,-11,12,23,-16.98,-17.57,-8.87,-11.67,-18.38,-19.41,-16.98,-9.0,-18.05,-20.5,-16.98,-13.2,-24.98,-12.17,-15.98,-22.31,,-23.35,-13.01,,,-12.21,,,-21.0,-16.98,-14.72,-16.98,,,-12.0,-8.0,-12.64,0.29,-10.3,,-26.4,,-9.5,-9.0,-16.69,-20.2,,,,-26.0,-9.7,-20,-28.42,-23.0,,-9.0,2.5,-16.81,-20.52,6.69,35,0.3215931226,0.176792487
2022,1,UTEP,North Texas,-1.5,-18,13,31,-1.63,-2.55,0.49,-2.14,2.01,1.72,-1.63,4.0,-2.89,-2.0,-1.63,0.57,1.83,5.25,0.69,-0.88,,-1.35,2.51,,,4.46,,,-7.6,0.41,1.59,-1.63,,,-1.0,0.01,0.32,8.04,-0.3,,-1.0,,1.2,-1.5,9.92,4.25,,,,1.0,0.8,5,-0.16,2.4,,-1.0,2.5,-1.77,-0.31,3.27,44,0.5537434789,0.5169792921
2022,1,Utah St.,Connecticut,26.5,11,31,20,22.78,27.03,17.75,26.44,18.0,21.67,22.78,17.0,27.58,23.5,22.78,22.06,28.33,18.93,25.79,31.0,,37.75,27.77,,,25.08,,,26.3,25.09,21.13,22.78,,,28.0,32.0,25.85,20.42,25.1,,28.3,,19.8,26.5,28.1,31.25,,,,34.0,20.9,35,33.31,25.0,,26.5,22.0,38.88,28.59,5.49,51,0.4831404606,0.9376730061
2022,2,Alabama,Utah St.,41.5,55,55,0,33.72,32.77,25.98,29.89,29.23,33.58,34.3,25.0,41.06,33.0,34.99,16.19,36.71,14.57,30.34,21.03,7.0,32.85,32.3,,,7.35,,,29.5,32.41,26.73,31.58,41.8,36.0,37.5,33.0,24.61,32.41,38.0,,42.2,,35.5,40.0,35.13,21.8,,,,28.0,37.2,29,25.71,28.5,,42.0,14.0,31.3,38.55,8.87,55,0.2697206802,0.9523732852
2022,2,Appalachian St.,North Carolina,1.5,-2,61,63,3.47,1.54,0.01,6.56,3.03,0.36,3.47,5.0,0.55,9.5,4.66,3.5,2.96,4.09,2.57,3.05,6.0,6.45,1.07,,,10.25,,,5.1,3.05,-2.1,2.22,-1.59,5.0,-2.5,3.0,4.95,-11.08,-6.7,,-0.2,,-8.4,1.5,4.9,9.45,,,,1.0,-10.0,14,4.69,-1.6,,-1.5,13.0,4.63,0.17,5.29,124,0.5254959491,0.5610395518
2022,2,Arkansas,Cincinnati,7.0,7,31,24,2.63,1.81,0.65,-10.8,-2.13,-3.52,2.64,-6.0,2.87,-12.5,2.63,-0.31,-3.81,-1.3,0.01,-4.78,-8.0,0.45,-0.84,,,-0.13,,,-6.4,0.13,4.19,2.63,3.32,-2.0,7.0,3.0,0.13,4.93,6.2,,2.5,,6.5,5.5,-0.2,-2.15,,,,-4.0,7.5,5,-3.93,12.1,,6.5,-10.5,2.54,-1.74,4.96,55,0.337133057,0.5002398792
2022,2,Boston College,Rutgers,7.5,-1,21,22,11.56,5.62,1.14,15.77,5.03,9.06,11.61,4.0,5.59,8.5,11.61,5.7,-1.21,4.34,7.37,4.73,5.0,8.75,7.42,,,4.25,,,8.2,7.15,1.84,11.55,7.33,9.0,7.0,13.0,9.78,7.05,5.0,,7.0,,5.1,7.5,5.68,7.05,,,,6.0,2.2,11,-0.96,12.3,,7.0,14.0,10.36,7.15,3.88,43,0.4968262312,0.674011735
2022,2,Coastal Carolina,Army,2.0,10,38,28,2.64,4.32,1.87,0.36,3.53,6.61,2.65,3.0,3.32,3.0,2.65,6.32,2.86,3.47,2.42,-0.65,-3.0,5.85,-1.21,,,8.42,,,-5.7,2.65,3.46,2.64,-1.66,6.0,3.5,5.0,2.39,-7.26,-1.2,,1.0,,-2.1,2.0,5.93,6.75,,,,-5.0,-2.8,7,2.48,2.6,,2.0,11.0,0.39,4.63,3.83,66,0.5102587494,0.5589008154
2022,2,Colorado,TCU,-13.5,-25,13,38,-6.99,-8.7,-5.13,-5.16,-2.13,-5.06,-7.03,-4.0,-10.71,-7.5,-7.04,-4.66,2.16,-3.2,-4.49,1.52,-4.0,2.95,-7.81,,,-0.75,,,-5.8,-5.34,-2.03,-6.97,-6.64,2.0,-7.5,-8.0,-7.57,-6.5,-6.6,,-11.2,,-7.6,-12.0,-9.88,-3.65,,,,-1.0,-7.3,1,-1.42,-6.8,,-13.5,4.5,1.52,-2.4,3.85,51,0.7093819231,0.3917074005
2022,2,Duke,Temple,9.5,30,30,0,9.49,7.18,8.57,2.31,9.21,7.51,9.53,4.0,7.85,3.5,9.52,5.84,10.18,9.02,7.41,7.16,-1.0,10.85,11.91,,,4.88,,,5.9,7.5,11.38,9.47,9.78,8.0,7.5,11.0,6.68,6.81,5.0,,6.1,,5.8,9.5,-2.2,5.8,,,,15.0,5.8,4,9.91,7.5,,7.0,1.0,7.76,11.83,3.37,30,0.4487607952,0.6760311611
2022,2,East Carolina,NC St.,-11.5,-1,20,21,-12.87,-9.59,-5.59,-3.11,-6.88,-5.71,-12.94,-7.0,-11.48,-7.5,-12.94,-5.82,-7.54,-4.66,-9.78,-5.32,-5.0,-7.95,-9.87,,,-4.71,,,-12.7,-10.0,-11.29,-12.84,-9.29,-7.0,-10.0,-13.0,-14.93,-14.6,-15.6,,-11.6,,-15.7,-11.5,-13.94,-3.15,,,,-18.0,-16.3,-12,-11.78,-10.0,,-11.5,2.5,-8.5,-12.58,4.35,41,0.5416138513,0.2761912493
2022,2,Florida,Utah,-3.0,3,29,26,-1.79,-2.84,0.27,-3.43,0.73,1.66,-1.8,-3.0,0.49,6.0,-1.81,-9.52,-4.2,-5.89,-5.73,-9.38,-1.0,-21.05,-4.75,,,-8.04,,,-5.1,-5.1,-3.27,-1.78,0.71,-11.0,-1.5,-8.0,-6.54,-15.51,-8.6,,-2.3,,-3.5,-3.0,-8.31,-5.25,,,,-15.0,-7.0,-19,-7.06,0.7,,-3.0,-6.5,-21.77,-5.9,6.0,55,0.4360993664,0.3678163504
2022,2,Georgia,Oregon,16.0,46,49,3,12.89,17.28,20.36,16.58,15.48,15.78,12.95,13.0,20.07,25.0,12.94,11.7,28.61,16.37,18.76,19.35,5.0,33.35,26.48,,,6.08,,,19.3,17.97,17.97,12.87,20.21,31.0,17.5,13.0,10.91,4.33,23.8,,17.6,,19.8,16.0,27.77,26.1,,,,20.0,21.4,33,26.16,16.0,,17.0,6.5,27.83,14.62,7.36,52,0.5626743258,0.8581992407
2022,2,Georgia Tech,Clemson,-23.0,-31,10,41,-21.33,-18.53,-18.59,-33.1,-15.0,-21.3,-21.44,-19.0,-18.27,-23.0,-21.44,-19.07,-25.49,-9.56,-22.06,-14.27,-11.0,-25.65,-20.21,,,-15.13,,,-25.4,-21.47,-13.01,-21.28,-23.94,-22.0,-18.0,-28.0,-26.46,-33.84,-24.4,,-24.6,,-21.5,-23.0,-31.68,-12.75,,,,-31.0,-21.7,-30,-16.43,-24.0,,-22.5,-13.5,-27.11,,5.99,51,0.5220915517,0.0967632479
2022,2,Hawaii,Western Kentucky,-16.0,-32,17,49,-5.27,-18.22,-8.94,-4.25,-9.51,-3.01,-3.34,-9.0,-22.35,-6.5,-6.04,-9.96,-18.88,-7.29,-13.39,-10.03,1.0,-23.55,-18.85,,,-12.35,,,-18.0,-13.0,-16.21,-8.46,-9.43,-13.0,-12.5,-19.0,-10.53,-14.93,-20.2,,-18.8,,-16.5,-16.0,-19.68,-8.85,,,,-23.0,-18.5,-22,-19.38,-23.0,,-16.0,-8.5,-11.0,-15.92,6.53,66,0.5604315738,0.2176581991
2022,2,Indiana,Illinois,1.0,3,23,20,1.67,-2.06,-1.4,-0.59,-2.84,5.21,1.46,5.0,-2.32,2.5,2.79,-1.54,-9.89,-6.23,-3.35,-8.64,4.0,-18.15,-3.37,,,2.05,,,-6.0,-2.21,-5.06,0.94,0.91,-7.0,4.5,2.0,0.37,-12.45,-0.7,,-5.5,,-0.8,0.5,-9.82,-3.9,,,,-16.0,0.3,-7,-8.23,1.6,,1.5,-9.0,-14.84,-3.28,5.71,43,0.3982658389,0.4213014569
2022,2,James Madison,Middle Tenn.,4.5,37,44,7,6.99,6.85,7.18,8.22,10.2,,7.01,-0.25,6.0,-15.0,7.02,8.56,,13.47,5.89,9.51,-3.0,13.85,13.75,,,-4.29,,,-4.5,6.99,6.21,6.98,-7.38,,7.0,23.0,5.75,-0.9,7.7,,5.1,,4.7,4.5,14.39,4.45,,,,11.0,4.0,24,5.99,7.0,,6.0,1.5,11.63,8.32,7.89,51,0.5312504327,0.6301573641
