season,week,home,road,line,actual,hscore,vscore,linesag,linepayne,linemass,linepfz,linelaz,linemoore,linesagr,lineargh,linepaynep,linehow,linesagpred,linepaynewl,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linedunk,linebill,linebihl,lineround,linefei,linemedian,lineharville,linesaggm,lineespn,linefox,lineopen,linepig,linecons,linecong,linepibias,linel2,lineteamrank,lineash,linepimean,lineca,linekeep,linekerns,linel2hf,linelog,linedwig,linepiratings,linetalis,linedonchess,linefeng,linemidweek,lineclean,linecurry,linepugh,linestd,total,phcover,phwin
2023,1,Jacksonville St.,UTEP,-1.0,3,17,14,-8.41,1.07,-0.92,3.12,2.37,,-8.41,-1.0,-1.38,-11.5,-8.41,8.43,2.98,7.11,-0.3,-17.1,1.0,5.05,3.06,,-0.13,,,-2.0,-0.52,1.98,-8.41,2.3,-2.0,2.0,8.0,,7.5,-2.5,,-1.3,,-1.4,-1.0,,-2.0,,,-2.0,1.3,2.12,-2.2,,-1.0,8.5,10.89,-6.68,5.84,31,0.5165056643,0.4929244955
2023,1,Louisiana Tech,Florida Intl.,11.5,5,22,17,12.64,11.41,13.51,12.03,13.81,12.07,12.64,8.0,13.89,12.0,12.64,3.97,15.21,7.3,11.5,7.49,2.0,15.05,18.77,,3.42,,,10.9,12.07,9.4,12.64,9.41,17.0,10.0,14.0,,3.09,7.5,,12.6,,7.1,11.5,,12.35,,,20.0,7.6,13.76,16.5,,11.5,7.5,9.86,16.42,4.34,39,0.5,0.7576424119
2023,1,New Mexico St.,Massachusetts,7.0,-11,30,41,17.72,13.37,13.17,14.52,8.07,13.92,17.72,9.0,12.89,16.5,17.72,14.79,10.94,15.57,14.41,16.34,2.0,17.85,15.98,,10.08,,,7.3,14.41,9.12,17.72,5.1,21.0,10.0,14.0,,8.73,16.8,,10.4,,17.0,8.5,,10.7,,,14.0,15.6,14.06,23.0,,6.5,21.0,23.57,14.41,4.6,71,0.6730388314,0.8083505243
2023,1,Notre Dame,Navy,20.5,39,42,3,20.7,17.38,17.88,8.7,14.66,15.11,20.7,13.0,18.81,20.0,20.7,13.13,17.56,7.99,17.36,9.66,9.0,16.3,18.02,,15.0,,,13.5,17.56,17.81,20.7,28.46,16.0,20.5,28.0,,26.16,18.8,,20.5,,21.7,20.0,,17.4,,,11.0,18.7,13.31,15.5,,20.5,13.0,19.62,20.18,4.7,45,0.4247872679,0.8528127462
2023,1,San Diego St.,Ohio,2.5,7,20,13,3.58,2.56,5.71,5.93,6.33,10.52,3.58,5.0,2.56,9.0,3.58,2.56,4.3,-0.32,3.07,-1.73,4.0,3.45,5.04,,1.33,,,2.0,3.52,2.26,3.58,4.02,5.0,4.5,8.0,,3.52,1.0,,3.4,,1.5,2.5,,4.7,,,-11.0,1.7,-0.63,3.3,,2.5,3.5,-6.51,7.61,3.73,33,0.5139419142,0.5746646394
2023,1,USC,San Jose St.,31.0,28,56,28,23.94,24.53,21.41,19.86,19.86,17.66,23.94,21.0,27.1,13.0,23.94,16.81,23.67,15.43,23.19,19.5,4.0,27.35,28.26,,14.67,,,17.9,23.94,20.67,23.94,30.26,21.0,30.0,31.0,,29.29,31.6,,26.3,,29.4,30.0,,26.7,,,27.0,33.2,24.63,24.0,,30.5,6.5,27.07,27.42,6.42,84,0.3241773092,0.9121530577
2023,1,Vanderbilt,Hawaii,17.5,7,35,28,8.18,16.82,13.69,13.8,9.12,10.01,8.18,13.0,17.88,3.5,8.18,13.63,13.43,15.15,14.6,18.82,-3.0,15.05,20.7,,13.21,,,11.3,14.4,15.77,8.18,14.4,11.0,17.5,26.0,,23.81,20.1,,18.1,,16.5,17.5,,21.3,,,19.0,21.8,21.45,17.5,,17.5,0.5,19.56,13.7,6.09,63,0.4322874869,0.8047326125
2023,2,Alabama,Middle Tenn.,38.5,49,56,7,40.03,33.47,38.58,29.85,33.7,27.26,40.16,24.0,37.36,33.5,40.16,21.82,44.24,14.59,34.83,29.3,12.0,32.75,38.41,,16.54,,,37.1,37.2,30.29,40.03,41.5,37.0,37.0,37.0,,30.54,43.4,,35.5,,39.1,38.5,40.8,47.1,,,46.0,41.7,39.29,25.5,,38.5,17.5,37.29,43.04,9.03,63,0.4203707955,0.9717436557
2023,2,Auburn,Massachusetts,35.0,45,59,14,40.44,30.54,38.86,18.25,28.6,30.88,41.45,20.0,35.67,27.5,39.48,15.17,38.49,18.14,31.82,27.34,11.0,32.65,39.38,,13.56,,,32.9,32.78,26.83,39.82,25.68,35.0,39.5,40.0,,30.66,45.5,,31.0,,42.0,35.0,38.8,29.7,,,30.0,44.1,35.57,25.0,,35.0,10.5,33.79,38.18,9.56,73,0.4318738781,0.957022595
2023,2,BYU,Sam Houston St.,19.0,14,14,0,30.0,19.66,25.18,18.88,21.15,,30.08,17.0,22.62,32.0,30.09,10.77,23.0,16.61,24.07,27.59,8.0,28.05,26.48,,23.0,,,25.6,25.18,16.48,29.99,18.39,21.0,24.0,29.0,,27.66,32.7,,20.1,,30.3,20.0,24.6,22.3,,,31.0,33.7,26.66,24.5,,19.0,-6.5,26.81,32.27,7.63,14,0.6132753972,0.9141331781
2023,2,Baylor,Texas St.,27.5,-11,31,42,37.11,21.33,29.73,21.08,24.13,28.49,37.23,19.0,25.43,20.5,37.22,9.05,28.14,16.22,27.46,21.06,8.0,28.25,31.77,,18.83,,,25.3,28.04,24.36,37.1,25.21,31.0,24.5,38.0,,28.36,38.5,,26.4,,33.3,27.5,35.4,35.4,,,31.0,35.6,26.88,21.5,,27.5,10.0,27.94,32.22,7.92,73,0.4991006039,0.9391506074
