season,week,home,road,line,actual,hscore,vscore,linesag,linepayne,linemass,linepfz,linelaz,linemoore,linesagr,linewayward,lineargh,linepaynep,linehow,linesagpred,linepaynewl,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linedunk,linebill,linepugh,linebihl,linecurry,lineround,lineclean,linefei,linemedian,lineharville,linesaggm,linemidweek,linedonchess,lineespn,linetalis,lineopen,linepig,linepiratings,linecons,linecong,linedwig,linepibias,linel2,lineteamrank,linelog,linepimean,lineca,linel2hf,linekerns,linekeep,linebig200,linecfp,linestd,total,phcover,phwin
2024,1,Georgia Tech,Florida St.,-10.5,3,24,21,-14.68,-16.75,-11.97,-22.43,-12.28,-20.35,-14.68,-10.52,-6.0,-11.3,-14.5,-14.68,-19.68,-18.56,,-13.51,-8.6,-5.0,-3.0,-11.82,,-17.22,-14.71,,-9.03,,,-14.0,-14.37,-9.95,-14.68,-10.0,-13.0,-13.79,-14.23,-12.5,-11.0,-16.1,-15.53,-16.4,-7.0,-18.4,,-15.6,,-17.1,-11.0,,-15.9,-10.3,-15.4,-4.8,4.26,45,0.427345713,0.2055436147
2024,1,Nevada,SMU,-27.5,-5,24,29,-24.2,-26.24,-18.89,-34.85,-12.32,-24.17,-24.2,-15.66,-9.0,-33.51,-19.0,-24.2,-22.31,-24.82,,-24.47,-15.28,-4.0,-26.35,-30.44,,-25.06,-24.32,,-28.99,,,-19.1,-24.57,-22.81,-24.2,-24.5,-25.5,-18.39,-26.35,-20.5,-34.0,-23.8,-29.16,-31.19,-30.0,-28.5,,-26.9,,-26.0,-27.5,,-33.0,-32.34,-29.68,-21.0,6.7,53,0.5697915003,0.0777900458
2024,2,Alabama,Western Kentucky,31.5,63,63,0,31.43,27.18,33.3,28.67,25.25,47.2,31.51,29.42,23.0,31.35,28.5,31.5,24.93,31.52,16.79,30.83,25.16,9.0,40.95,32.65,,16.61,31.2,,41.16,,,31.8,31.41,27.95,31.38,31.5,24.5,34.57,30.44,32.5,33.0,35.6,30.59,23.52,33.0,37.4,,31.5,,35.3,31.5,,39.5,36.46,31.02,37.7,7.36,63,0.4847268127,0.9609717129
2024,2,Arizona,New Mexico,31.0,22,61,39,28.58,28.76,29.08,29.06,22.32,36.52,28.22,24.38,21.0,35.57,19.5,28.16,25.09,32.88,18.05,31.61,33.37,5.0,42.45,33.41,,37.18,32.66,,46.3,,,27.8,32.77,28.84,29.43,31.0,22.0,25.64,33.45,31.5,39.0,34.0,37.02,28.48,38.0,35.9,,37.2,,35.3,31.0,,43.75,45.23,33.16,36.1,8.07,100,0.5136626612,0.9620532361
2024,2,Arizona St.,Wyoming,7.0,41,48,7,7.77,-8.75,7.53,-16.07,5.9,4.1,7.78,6.54,6.0,-3.6,-5.0,7.78,-11.52,-0.62,-3.84,1.98,3.77,-3.0,-1.35,6.18,,-17.0,8.17,,-3.9,,,3.1,4.75,6.47,7.75,7.0,6.6,9.88,-3.15,7.0,,9.3,-0.36,15.96,-2.0,8.5,,7.6,,8.2,7.0,,-1.55,4.75,-1.92,5.6,7.98,55,0.388761935,0.5443674548
2024,2,Charlotte,James Madison,-9.5,-23,7,30,-11.42,-24.6,-17.43,-25.86,-15.62,3.79,-11.45,-15.84,-5.0,-22.73,-15.5,-11.44,-25.6,-25.31,-12.36,-16.09,-21.08,-9.0,-27.65,-10.5,,-25.89,-15.39,,-23.72,,,-21.5,-15.73,-12.45,-11.39,-9.0,-5.7,-10.99,-23.59,-10.0,-18.0,-7.7,-22.04,-7.91,-28.0,-7.4,,-5.6,,-7.9,-10.0,,-16.7,-21.5,-16.84,-14.7,7.84,37,0.3548615323,0.1817215525
2024,2,Florida,Miami (Fla.),-2.5,-24,17,41,-1.75,-1.26,8.16,-3.68,3.74,-10.34,-1.77,11.35,4.0,0.41,4.0,-1.76,-2.16,3.89,-1.29,0.96,1.96,2.0,7.35,-1.44,,-1.17,0.83,,8.46,,,4.9,0.35,2.91,-1.74,-2.5,-5.0,2.96,-1.1,-2.0,-2.0,-2.4,1.86,-1.41,1.0,-2.2,,0.3,,-2.5,-2.5,,3.15,5.42,4.23,5.8,3.93,58,0.5837825946,0.5234061601
2024,2,Florida St.,Boston College,17.0,-15,13,28,17.71,24.73,16.68,35.82,15.9,33.06,18.72,17.56,11.0,23.26,14.5,16.54,25.51,25.76,12.85,19.74,17.45,3.0,15.85,17.0,,19.3,22.55,,18.76,,,17.3,18.4,13.6,18.07,16.5,23.5,14.57,22.86,22.0,15.0,23.9,25.28,16.22,19.0,25.5,,17.0,,24.2,17.0,,21.4,11.92,23.51,19.7,5.97,41,0.5641665808,0.8777489035
2024,2,Georgia,Clemson,12.0,31,34,3,19.11,19.34,16.6,21.91,13.84,13.25,19.16,16.98,9.0,20.6,19.0,19.15,18.66,15.0,13.58,16.57,15.65,3.0,23.35,16.2,,4.44,17.66,,17.29,,,15.3,17.23,12.84,19.09,13.5,7.9,15.23,17.17,13.0,17.0,17.6,8.81,14.56,20.0,21.1,,17.6,,17.9,13.0,,23.15,23.89,8.85,26.5,5.09,37,0.6080175692,0.8398982763
2024,2,Georgia Southern,Boise St.,-13.0,-11,45,56,-11.72,-7.0,-10.56,-6.12,-12.3,-15.8,-11.76,-8.48,-8.0,-11.98,-9.0,-11.76,-4.32,-8.22,-6.72,-11.8,-8.57,-5.0,-18.75,-13.22,,-8.94,-15.04,,-19.83,,,-11.4,-11.73,-4.9,-11.7,-13.0,-10.8,-6.24,-14.43,-9.5,-18.0,-12.4,-16.63,-11.74,-21.0,-15.4,,-13.3,,-13.3,-13.0,,-8.7,-22.04,-14.02,-10.5,4.46,101,0.5290091062,0.2370998634
