Date,Bet,American Odds,Decimal Odds,Win/Loss,Profit if risk 1u
8/23/25,Sam Houston +10.5,-110,1.91,W,0.91
8/24/25,Stanford +2.5,-105,1.95,L,-1.00
8/28/25,Boise State -5.5,-110,1.91,L,-1.00
8/28/25,Jax State +20.5,-105,1.95,W,0.95
8/28/25,Ohio +15.5,-110,1.91,W,0.91
8/29/25,Central Michigan   +14.5,-110,1.91,W,0.91
8/30/25,Colorado +4.5,-110,1.91,L,-1.00
8/31/25,Baylor +2.5,-110,1.91,L,-1.00
9/1/25,UNLV -7.5,-123,1.81,W,0.81
8/30/25,Ball State +18.5,-110,1.91,L,-1.00
8/31/25,Tulane -3.5,-130,1.77,W,0.77
9/1/25,Ohio State ML,-114,1.88,W,0.88
9/2/25,Kent State -5.5,-105,1.95,L,-1.00
9/3/25,Utah State -5.5,-105,1.95,W,0.95
9/4/25,UVA -13.5,-110,1.91,W,0.91
8/31/25,South Carolina -7,-110,1.91,W,0.91
9/1/25,Notre Dame -2.5,-105,1.95,L,-1.00
9/1/25,TCU -3.5,-100,2.00,W,1.00
9/6/25,Louisville -10.5,-170,1.59,W,0.59
9/7/25,UVA ML,128,2.28,L,-1.00
9/8/25,Pitt -20.5,-125,1.80,W,0.80
9/9/25,ISU -2.5,-131,1.76,W,0.76
9/10/25,Illinois -2.5,-105,1.95,W,0.95
9/11/25,Syracuse -5.5,-145,1.69,W,0.69
9/12/25,SMU -2.5,-108,1.93,L,-1.00
9/13/25,Jax State +7.5,-156,1.64,W,0.64
9/14/25,Missouri -3.5,-129,1.78,W,0.78
9/15/25,Miss St -6.5,-151,1.66,W,0.66
9/16/25,Wake forest -15.5,-149,1.67,W,0.67
9/17/25,Marshall -8.5,-102,1.98,L,-1.00
9/18/25,Memphis -13.5,-113,1.88,W,0.88
9/19/25,UNC -13.5,-107,1.93,W,0.93
9/20/25,Virginia Tech ML,-119,1.84,L,-1.00
9/21/25,USC -27.5,-129,1.78,W,0.78
9/22/25,Washington State -1.5,-106,1.94,W,0.94
12-Sep,Houston -2.5,-159,1.63,W,0.63
13-Sep,Arizona +3.5,-156,1.64,W,0.64
13-Sep,UVA -26.5,-122,1.82,W,0.82
14-Sep,Clemson -2.5,-114,1.88,L,-1.00
15-Sep,Memphis ML,-162,1.62,W,0.62
16-Sep,Georgia ML,-159,1.63,W,0.63
17-Sep,Bowling Green +6.5,-133,1.75,W,0.75
18-Sep,USC -20.5,-105,1.95,L,-1.00
19-Sep,Jax State +3.5,-134,1.75,L,-1.00
20-Sep,Ohio State -24.5,-135,1.74,W,0.74
21-Sep,App State -2.5,-144,1.69,L,-1.00
22-Sep,Miss St -6.5,-104,1.96,L,-1.00
23-Sep,LSU ML,-198,1.51,W,0.51
24-Sep,Vanderbilt +3.5,-122,1.82,W,0.82
25-Sep,Navy -13.5,-127,1.79,W,0.79
26-Sep,Tulane ML,-117,1.85,W,0.85
27-Sep,Minnesota -1.5,-119,1.84,L,-1.00
18-Sep,Rice ML,-115,1.87,W,0.87
19-Sep,Oklahoma State -6.5,-173,1.58,L,-1.00
20-Sep,Bowling Green +26.5,-102,1.98,W,0.98
21-Sep,Memphis +7.5,-122,1.82,W,0.82
22-Sep,Army +3.5,-138,1.72,L,-1.00
23-Sep,Troy +7.5,-150,1.67,W,0.67
24-Sep,Louisiana ML,-128,1.78,L,-1.00
25-Sep,Western Kentucky -6.5,-144,1.69,W,0.69
26-Sep,Louisiana Tech -2.5,-133,1.75,W,0.75
27-Sep,Stanford +17.5,-124,1.81,L,-1.00
28-Sep,Vanderbilt -26.5,-140,1.71,W,0.71
29-Sep,Marshall ML,-120,1.83,W,0.83
25-Sep,ECU -3,-133,1.75,W,0.75
26-Sep,UVA +7,-112,1.89,W,0.89
27-Sep,CMU -3,-113,1.88,W,0.88
28-Sep,Kansas -4.5,-107,1.93,L,-1.00
29-Sep,Syracuse +4.5,-111,1.90,L,-1.00
30-Sep,Navy -13.5,-110,1.91,L,-1.00
1-Oct,Oklahoma State +21.5,-120,1.83,W,0.83
2-Oct,ODU -13.5,-120,1.83,W,0.83
3-Oct,Memphis -13.5,-116,1.86,W,0.86
4-Oct,Stanford -3,-111,1.90,L,-1.00
5-Oct,Iowa State -5,-108,1.93,W,0.93
6-Oct,North Texas -12.5,-107,1.93,W,0.93
7-Oct,Louisiana Tech -4,-120,1.83,W,0.83
2-Oct,New Mexico State +3,-125,1.80,W,0.80
3-Oct,New Mexico +3,-115,1.87,L,-1.00
4-Oct,San Diego State -5.5,-112,1.89,W,0.89
5-Oct,Western Kentucky +3,-125,1.80,W,0.80
4-Oct,Miami ML,-159,1.63,W,0.63
5-Oct,Rice -4.5,-101,1.99,L,-1.00
6-Oct,Troy +1.5,-107,1.93,W,0.93
7-Oct,Uconn -6.5,-118,1.85,W,0.85
8-Oct,Syracuse +17.5,-104,1.96,W,0.96
9-Oct,Akron +9.5,-122,1.82,W,0.82
10-Oct,UNC +16.5,-119,1.84,L,-1.00
11-Oct,Iowa State +1.5,-107,1.93,L,-1.00
12-Oct,Navy -12.5,-122,1.82,L,-1.00
13-Oct,Ohio -13.5,-125,1.80,L,-1.00
14-Oct,Colorado +14.5,-132,1.76,W,0.76
15-Oct,Memphis -20.5,-115,1.87,W,0.87
16-Oct,Houston +12.5,-110,1.91,L,-1.00
17-Oct,Fresno -11.5,-119,1.84,L,-1.00
8-Oct,Liberty ML,-110,1.91,W,0.91
9-Oct,Jax State -6.5,-108,1.93,L,-1.00
10-Oct,Louisiana Tech -2.5,-111,1.90,L,-1.00
10-Oct,Fresno State -6.5,100,2.00,L,-1.00
11-Oct,North Texas -1,-107,1.93,L,-1.00
11-Oct,Alabama -2.5,-133,1.75,W,0.75
12-Oct,Army -17.5,-110,1.91,L,-1.00
13-Oct,Texas A&M -7.5,-108,1.93,W,0.93
14-Oct,Maryland +6.5,-105,1.95,W,0.95
15-Oct,UNLV -6.5,-112,1.89,L,-1.00
16-Oct,Coastal Carolina +3,-110,1.91,W,0.91
17-Oct,Temple +9.5,-109,1.92,W,0.92
18-Oct,Tennessee -9.5,-110,1.91,L,-1.00
19-Oct,Kent State -1.5,-110,1.91,W,0.91
20-Oct,BYU -2.5,-110,1.91,W,0.91
21-Oct,LSU -9,-115,1.87,W,0.87
22-Oct,Akron +13.5,-130,1.77,W,0.77
14-Oct,Western Kentucky -9.5,-110,1.91,L,-1.00
15-Oct,Jacksonville State +3,-110,1.91,W,0.91
16-Oct,UTEP -3,-110,1.91,W,0.91
16-Oct,ECU -16.5,-110,1.91,L,-1.00
