lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepve,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linefluker,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,linenewbury,lineborn,lineavg,linestd,linemedian,phcover,phwin,lineca
-6.5,-2.5,North Dakota St.,Air Force,11.5,,,,,2.93,3.29,,,-13.8,,,,,,-2.64,-19.0,,0.1,-3.64,-2.51,-1.85,-7.88,-2.25,,,-9.22,,,-6.446425153,0,,-0.64,-17.92,0.483346023,-7.87,-11.4168,,,-4.4,-3.7,,-4.774,7,-5.5,,14.37,-8.85,,,-4.065355165,7.6336835893,-3.7,0.4739137624,0.4090246164,-2.5
4.0,3.5,South Florida,Army,4.0,,,,,12.24,0.444,,,-8.4,,,,,,0.37,-11.0,,2.7,9.21,4.8,2.27,29.39,1.54,,,-9.78,,,-0.197616065,0,,7.3,0.23,-0.831537187,1.79,-10.0041,,,10.5,0.2,,-3.6505,6,-7.18,,-0.03,-7.49,,,1.1368098699,8.6509426082,0.37,0.4612095818,0.5249932067,3.0
29.5,33.5,Southern Miss.,Auburn,11.5,,,,,18.15,26.686,,,19.0,,,,,,28.33,1.5,,27.5,27.69,33.69,35.36,18.14,28.93,,,22.07,,,33.152634719,0,,10.49,19.0,20.784682445,13.24,21.6522,,,25.8,32.2,,33.6,6,1.73,,25.06,31.61,,,22.674620687,9.4769432748,25.06,0.329770548,0.8893100345,32.5
7.5,7.5,Arizona,BYU,11.0,,,,,10.22,6.833,,,20.4,,,,,,5.82,2.0,,6.8,3.54,8.17,7.88,-1.22,6.24,,,5.65,,,7.35053586,0,,6.51,8.94,5.854182354,2.09,8.5218,,,13.9,10.8,,10.2445,5,5.11,,8.11,5.77,,,7.4613607286,4.1927918051,6.833,0.499331418,0.6746397749,7.5
8.5,8.5,Memphis,Boise St.,2.5,,,,,14.71,12.35,,,14.1,,,,,,6.3,4.5,,7.3,8.53,9.37,7.61,9.99,10.36,,,5.78,,,13.66641922,0,,-0.03,6.02,6.649527737,6.59,3.7565,,,13.8,9.3,,7.721,1,-20.4,9.963,6.8,4.75,,,6.9994787291,6.6870919575,7.455,0.474691606,0.6572545821,8.5
4.0,3.0,Rutgers,Boston College,-0.5,,,,,7.12,1.164,,,-11.0,,,,,,0.22,10.0,,3.1,5.62,0.13,2.52,13.71,6.49,,,-1.23,,,-0.745947276,0,,3.15,0.32,-5.36475965,4.63,-7.1942,,,4.5,-1.6,,-6.65,-1,-22.55,12.989,-3.16,-2.05,,,0.5237728105,7.5269285295,0.27,0.4587202862,0.5118535973,3.0
23.5,20.5,Georgia Southern,Clemson,7.5,,,,,12.82,20.924,,,26.3,,,,,,23.18,11.5,,22.5,19.18,25.69,24.59,11.41,20.85,,,19.95,,,25.455689505,0,,-2.5,15.69,15.836715985,10.12,22.0472,,,17.5,21.6,,29.05,8,-14.71,,21.56,26.51,,,17.38214422,9.8070942932,20.85,0.4497789841,0.8235235994,20.5
-13.5,-13.0,Maryland,Connecticut,3.5,,,,,-6.85,-12.417,,,4.3,,,,,,-8.14,17.0,,-9.6,-10.74,-13.45,-13.7,-5.87,-7.31,,,1.2,,,-10.91700565,0,,3.25,-0.98,2.267619875,0.47,-0.2134,,,-11.4,-14.1,,-6.1425,-5,-2.37,,-5.45,-10.89,,,-4.742091431,7.4913159962,-6.1425,0.6352720439,0.3938568565,-12.0
9.5,7.5,Appalachian St.,East Carolina,6.5,,,,,1.5,14.906,,,33.9,,,,,,12.4,21.0,,6.7,0.28,5.51,5.79,-14.05,9.05,,,21.84,,,11.332290347,0,,-1.87,19.61,22.041059875,1.71,17.1401,,,-0.1,15.4,,21.35,-1,-16.88,,11.52,18.69,,,9.8107780089,11.598233631,11.332290347,0.5361502484,0.6906642284,7.5
-6.5,-5.0,Navy,Florida Atlantic,-15.0,,,,,-4.96,-3.341,,,-26.8,,,,,,-11.34,-11.5,,-4.1,-2.39,-5.2,-5.54,2.48,-8.73,,,-11.74,,,-3.292736846,0,,-15.83,-17.78,-11.37495795,-12.07,-15.2398,,,-8.3,-8.8,,-14.651,-4,-24.83,,-8.03,-19.39,,,-10.70997979,6.9986653245,-11.34,0.4049128291,0.269181203,-5.5
