lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepve,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linesag,linesagpred,linesaggm,linesagr,linenewbury,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linefluker,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineborn,lineavg,linestd,linemedian,phcover,phwin,lineca
-6.5,-2.0,North Dakota St.,Air Force,11.5,2.73,,-2.5,-12.54,2.93,3.29,-5.74,-17.645,-17.0,-2.0,-1.7,-6.5,13.6,-3.86,-2.64,-19.0,,0.1,-3.64,-2.51,-1.85,-7.88,2.89,-2.25,-10,-3.686943641,-9.22,,,-6.446425153,0,,-0.64,-17.92,0.483346023,-7.87,-11.059,,-16,-4.4,-3.7,,-4.774,7,-5.5,,1.78,-8.85,,-4.671526915,7.3624056636,-3.78,0.4553821464,0.3950824827,-2.0
4.0,3.0,South Florida,Army,4.0,4.52,,3.5,4.17,12.24,0.444,1.46,-11.072,-11.5,1.3,1.7,0.3,1.2,-6.86,0.37,-11.0,,2.7,9.21,4.8,2.27,29.39,13.04,1.54,4,3.5468106593,-9.78,,,-0.197616065,0,,7.3,0.65,-0.831537187,1.79,-8.6436,,-3,10.5,1.5,,-3.6505,6,-7.18,,4.36,-7.49,,1.2393567739,7.8003999641,1.48,0.4707304938,0.5278422383,3.0
29.5,33.0,Southern Miss.,Auburn,11.5,30.52,,32.5,24.12,18.15,26.686,18.95,26.244,20.4,39.7,36.5,41.2,26.3,13.95,28.33,1.5,,27.5,27.69,33.69,35.36,18.14,40.18,28.93,13,16.719657322,22.07,,,33.152634719,0,,10.49,18.57,20.784682445,13.24,21.5016,,24,25.8,32.0,,33.6,6,1.73,,28.87,31.61,,24.281015118,9.7574267937,26.022,0.3619501543,0.9030875571,32.5
7.5,7.5,Arizona,BYU,11.0,11.25,,7.5,13.23,10.22,6.833,7.7,4.191,10.8,12.5,12.3,10.7,7.2,-1.22,5.82,2.0,,6.8,3.54,8.17,7.88,-1.22,13.71,6.24,13,10.179906022,5.65,,,7.35053586,0,,6.51,8.94,5.854182354,2.09,8.4673,,9,13.9,10.8,,10.2445,5,5.11,,8.32,5.77,,7.9165901115,3.7867542005,8.025,0.5072300068,0.6855503565,7.5
8.5,8.5,Memphis,Boise St.,2.5,13.15,,8.5,11.89,14.71,12.35,2.86,12.464,6.7,11.2,11.5,11.2,7.3,-3.29,6.3,4.5,,7.3,8.53,9.37,7.61,9.99,14.73,10.36,18,9.6768544529,5.78,,,13.66641922,0,,-0.03,6.63,6.649527737,6.59,6.015,,4,13.8,10.4,,7.721,1,-20.4,9.963,8.49,4.75,,7.8186102926,6.2968324684,8.49,0.4884487962,0.6758992791,8.5
4.0,3.0,Rutgers,Boston College,-0.5,1.14,,3.5,-7.28,7.12,1.164,4.87,11.401,-5.0,3.6,3.2,4.3,4.0,11.31,0.22,10.0,,3.1,5.62,0.13,2.52,13.71,9.06,6.49,2,4.2480942074,-1.23,,,-0.745947276,0,,3.15,2.31,-5.36475965,4.63,0.1402,,-2,4.5,2.4,,-6.65,-1,-22.55,12.989,2.96,-2.05,,2.2797842893,6.4522668845,2.96,0.4878125861,0.5527420788,3.0
23.5,20.0,Georgia Southern,Clemson,7.5,21.74,,20.5,11.82,12.82,20.924,12.02,21.252,22.0,24.8,22.8,26.8,19.5,13.97,23.18,11.5,,22.5,19.18,25.69,24.59,11.41,6.43,20.85,1,17.198971834,19.95,,,25.455689505,0,,-2.5,13.73,15.836715985,10.12,15.5204,,32,17.5,19.2,,29.05,8,-14.71,,20.73,26.51,,17.101783614,9.1584430464,19.35,0.4528242338,0.8239137439,20.0
-13.5,-11.5,Maryland,Connecticut,3.5,-18.5,,-13.0,-7.7,-6.85,-12.417,-2.16,4.021,3.8,-20.5,-18.0,-19.0,-8.7,19.09,-8.14,17.0,,-9.6,-10.74,-13.45,-13.7,-5.87,-0.25,-7.31,-5,-8.751311174,1.2,,,-10.91700565,0,,3.25,-0.98,2.267619875,0.47,0.3741,,-3,-11.4,-14.1,,-6.1425,-5,-2.37,,-6.17,-10.89,,-5.464081499,8.7877789138,-6.51,0.5980245765,0.3820004689,-11.0
9.5,6.5,Appalachian St.,East Carolina,6.5,4.43,,7.5,12.69,1.5,14.906,6.19,16.999,16.4,19.4,15.7,19.6,12.6,15.79,12.4,21.0,,6.7,0.28,5.51,5.79,-14.05,-1.59,9.05,1,4.3470840936,21.84,,,11.332290347,0,,-1.87,18.05,22.041059875,1.71,15.7608,,11,-0.1,13.1,,21.35,-1,-16.88,,9.06,18.69,,9.4270061662,9.3341071735,11.166145173,0.5475138779,0.6951168398,6.5
-6.5,-4.5,Navy,Florida Atlantic,-15.0,-9.42,,-4.5,-14.67,-4.96,-3.341,-10.93,-0.249,-0.1,-10.3,-11.5,-12.2,-14.2,-8.98,-11.34,-11.5,,-4.1,-2.39,-5.2,-5.54,2.48,-8.79,-8.73,-16,-12.58166433,-11.74,,,-3.292736846,0,,-15.83,-18.94,-11.37495795,-12.07,-17.3979,,-6,-8.3,-11.2,,-14.651,-4,-24.83,,-9.27,-19.39,,-10.10074366,5.8145670138,-11.065,0.4054389733,0.27579164,-5.0
10.5,10.0,Buffalo,Florida Intl.,-0.5,7.56,,10.5,19.81,8.59,2.733,3.96,15.582,7.0,10.7,8.4,9.9,1.3,13.76,6.21,10.0,,6.6,6.78,6.86,2.95,10.99,8.32,5.33,18,1.8792587522,11.41,,,6.2643763266,0,,-0.5,8.41,10.409495526,5.44,8.37,,12,7.4,7.6,,5.6,-5,-3.45,,-0.01,1.35,,7.1844244896,5.0164004941,7.2,0.4517437603,0.6663998782,9.5
18.5,18.0,Sacramento St.,Fresno St.,19.0,23.55,,18.0,20.06,24.53,18.535,8.71,17.016,9.2,24.4,23.1,24.1,18.1,10.9,18.43,15.0,,22.0,8.12,12.94,14.06,-1.88,9.27,15.79,13,14.241251621,14.24,,,16.763480325,0,,-6.65,17.84,12.01800131,11.72,17.1707,,13,12.9,23.9,,23.499,7,-31.04,,20.12,20.39,,14.422195612,10.163046333,16.276740162,0.4427488792,0.7772672156,18.0
39.0,40.0,Western Kentucky,Georgia,25.5,39.14,,40.5,45.88,37.75,33.015,29.53,26.81,28.9,54.2,51.0,55.9,41.2,17.96,35.87,18.0,,33.0,40.53,41.99,43.11,43.79,55.43,39.63,48,40.727144486,29.88,,,47.617898253,0,,28.0,34.16,25.63656398,31.31,38.9352,,34,48.8,41.7,,32.886,9,36.56,,34.38,33.31,,37.474679124,9.4214365939,37.155,0.459037363,0.9785221523,40.0
-13.5,-12.0,Tennessee,Georgia Tech,-4.5,-8.27,,-12.0,1.49,-4.41,-2.725,-4.71,-14.357,-3.1,-9.2,-10.2,-9.3,-10.8,-10.21,-7.31,3.5,,-9.4,-8.31,-8.3,-10.6,-7.88,-13.65,-7.11,-13,-10.05012934,-3.48,,,-15.43540222,0,,-7.29,-5.54,-0.708908473,-4.71,-9.6861,,-7,-11.2,-6.8,,-2.184,-6,-22.83,,-12.82,-20.41,,-8.223593159,5.2850488944,-8.285,0.5644340012,0.3121493486,-11.5
10.0,7.0,New Mexico St.,Hawaii,5.5,15.98,,7.0,10.67,5.65,8.869,3.19,13.337,8.9,14.6,13.0,15.2,9.8,13.39,10.17,13.0,,8.2,4.66,8.06,10.47,-4.16,1.25,8.43,3,12.094314208,12.38,,,15.135173049,0,,2.7,5.84,18.466791872,2.65,13.013,,12,3.9,13.8,,14.7385,-1,-3.97,19.815,7.36,13.25,,9.3420199777,5.594795877,10.17,0.539944283,0.7098959577,7.0
6.5,5.5,Duke,Illinois,4.0,1.59,,6.0,9.09,-1.08,5.18,2.46,0.67,8.1,6.3,5.6,4.9,8.3,-0.54,4.55,7.0,,4.4,5.68,8.86,9.0,1.65,2.37,5.6,-4,3.945470205,6.44,,,5.2193864696,0,,2.66,-0.96,4.162191814,1.66,1.2701,,12,5.6,5.4,,7.7,1,8.0,,7.84,3.73,,4.588082855,3.3662572936,5.04,0.4841315657,0.6109007497,5.5
14.5,14.0,Iowa St.,Iowa,8.0,13.91,,14.0,11.23,13.33,23.306,10.56,16.879,13.0,12.7,13.8,12.8,10.0,11.73,9.03,13.0,,14.5,15.34,17.41,17.31,13.34,16.03,14.93,22,14.484479824,12.4,,,20.59,0,,8.42,17.47,13.971247889,10.88,16.1426,,20,17.7,18.1,,12.6,2,1.06,,8.53,9.17,,13.832982308,4.311356006,13.57,0.4971128247,0.7989405445,14.0
-6.5,-4.5,Missouri,Kansas,-3.5,0.48,,-5.5,-3.48,-4.3,-5.806,2.46,-0.315,-8.7,-4.6,-6.5,-4.0,-3.3,-2.44,-2.8,-2.5,,-5.1,-0.27,-5.51,-6.95,7.52,-0.12,0.37,-4,-4.626965924,-5.81,,,-7.706070638,0,,-0.72,-4.93,-3.722407483,1.74,-2.0657,,-19,-3.8,-5.1,,-8.0675,-3,-15.52,,-3.6,-11.57,,-4.154201159,4.6655551313,-3.9,0.5059597673,0.4012322121,-4.5
18.5,17.5,Washington St.,Kansas St.,9.5,24.44,,17.5,11.23,14.4,14.393,17.05,3.311,9.7,18.7,19.7,21.0,10.3,10.41,12.33,7.5,,18.0,18.33,17.36,18.62,22.67,27.04,16.93,14,17.240424528,7.05,,,14.384452833,0,,19.42,8.65,6.258353652,11.03,10.2609,,6,18.0,12.4,,16.338,4,32.6,,12.05,13.25,,14.7854245,6.1297838319,14.388726417,0.4539908886,0.8067228374,17.5
9.5,8.5,Georgia St.,Kennesaw St.,7.5,8.99,,8.5,23.55,13.17,9.6,10.31,22.463,6.4,9.8,9.6,9.4,6.2,17.53,2.53,21.0,,7.0,8.27,8.36,8.39,9.19,15.85,7.64,17,9.6334419195,18.53,,,10.869556173,0,,9.08,12.54,18.921910136,7.65,11.5776,,22,6.6,9.6,,14.1365,-6,-8.62,,2.04,8.83,,10.871894953,6.2571638197,9.6,0.5401649806,0.7372786491,8.5
-10.5,-10.0,Alabama,Kentucky,-13.0,-10.9,,-10.5,-12.63,-7.3,-7.087,-10.89,-15.831,-4.2,-12.3,-14.4,-13.0,-15.2,-4.59,-12.43,-10.5,,-9.6,-6.99,-8.34,-8.64,-5.52,-12.25,-10.92,-19,-14.50066478,-11.47,,,-12.97248328,0,,-12.29,-11.95,-7.783802098,-12.01,-12.0759,,-13,-13.7,-12.4,,-9.0335,-7,9.38,,-13.1,-12.25,,-10.649325,4.576769231,-12.04295,0.4888015003,0.2603584988,-10.0
31.5,35.0,Louisiana Tech,LSU,18.0,30.84,,35.0,27.55,14.24,27.95,17.81,28.208,22.2,37.9,37.6,39.0,28.8,14.29,28.31,3.5,,31.0,32.26,34.08,37.45,27.77,30.36,31.0,22,33.790631934,18.54,,,34.317334675,0,,13.83,26.75,14.38219875,25.39,31.1159,,22,28.8,30.0,,30.2085,11,-19.79,,32.16,27.87,,25.565330667,10.939650242,28.259,0.3539066964,0.9070032805,34.0
17.5,13.5,Middle Tenn.,Marshall,11.5,12.1,,13.5,12.59,13.82,6.011,7.13,18.625,9.4,17.0,16.9,17.7,11.4,-4.83,12.1,6.0,,13.6,9.98,11.73,10.31,8.65,7.59,11.51,4,4.1939269249,11.89,,,14.885236753,0,,0.65,7.9,8.365272596,8.73,9.0535,,13,8.6,12.3,,16.324,5,-24.39,,11.98,13.93,,9.5323141125,7.3432254074,11.45,0.43388501,0.7065115018,13.0
-5.5,-4.5,Oklahoma,Michigan,6.0,-4.5,,-5.5,-9.06,-5.62,1.236,-5.71,0.142,-1.7,-4.3,-4.2,-3.5,-1.1,-6.72,1.04,3.5,,-3.2,-8.22,-1.35,-5.0,-13.67,0.05,-5.23,-16,-5.045947784,-2.92,,,-3.376409501,0,,-3.08,-7.13,1.005183504,-5.11,-6.3819,,-14,-7.6,-0.3,,3.15,6,-16.62,-4.032,4.39,-0.35,,-3.961873687,5.198544772,-4.032,0.5092288362,0.4065863215,-4.5
17.5,17.5,Eastern Mich.,Michigan St.,15.0,19.25,,17.5,12.43,7.77,15.298,17.82,23.161,13.2,23.6,21.2,22.7,19.6,7.52,26.12,5.0,,14.5,16.85,21.24,22.54,8.83,8.76,20.36,19,19.671246748,22.93,,,16.750123898,0,,6.09,23.32,14.647454517,15.4,16.0336,,13,15.3,21.1,,18.9,4,-5.82,32.418,18.96,20.05,,16.67947244,6.9030051936,17.82,0.4861903388,0.8315604748,17.5
-1.5,-1.5,Mississippi St.,Minnesota,9.0,2.25,,-1.0,10.27,4.64,9.421,-0.68,-3.491,9.5,6.7,7.5,7.8,0.3,14.42,0.77,7.5,,0.5,3.48,3.13,3.23,4.22,15.83,-1.03,3,-3.427554907,-3.15,,,2.5965665186,0,,7.98,3.83,6.798090865,1.77,-2.0315,,-6,2.5,0.2,,8.7535,2,-7.74,,3.96,4.41,,3.6502395389,5.2259308132,3.355,0.5875949475,0.5861431986,-0.5
46.5,45.5,Charlotte,Mississippi,35.5,41.73,,47.5,53.45,36.07,42.642,37.06,40.297,33.0,52.1,51.6,53.5,42.2,19.58,42.63,27.5,,36.5,48.22,48.89,50.99,53.27,44.07,46.44,45,36.785538144,46.36,,,50.081805577,0,,27.16,42.03,49.312004052,37.87,43.8882,,56,48.5,40.1,,46.823,12,5.37,,38.54,44.19,,41.980251257,10.058978211,43.2651,0.4435760014,0.9870432691,45.5
28.5,30.0,Bowling Green,Nebraska,17.0,30.81,,30.0,35.53,32.75,29.099,23.85,25.03,24.9,41.4,37.1,40.5,23.5,18.43,28.87,13.5,,25.0,26.28,31.98,33.83,16.35,30.3,26.22,35,30.179800244,24.75,,,33.384787592,0,,13.23,29.02,23.435298107,21.13,22.362,,21,34.0,27.6,,32.207,1,4.63,,21.97,31.95,,26.791523314,7.7985760302,26.94,0.4467709009,0.9344742195,30.0
-6.5,-3.0,UNLV,North Texas,3.0,-1.43,,-3.0,8.47,0.62,4.477,5.15,21.18,6.4,3.5,-0.2,1.7,3.8,5.96,3.84,14.5,,-4.5,-2.28,-2.97,-4.21,-0.03,-2.08,-0.04,8,-6.396398704,14.36,,,-5.686901861,0,,-5.11,4.38,10.44985703,0.9,3.4842,,-9,-4.3,0.3,,8.4,-2,-9.47,7.599,4.56,5.09,,2.3696604222,6.5331729025,3.0,0.5900154493,0.5547119352,-2.5
44.5,44.5,Rice,Notre Dame,28.5,46.63,,44.5,44.52,35.31,32.496,36.44,35.843,34.6,56.9,54.9,60.9,46.1,18.89,43.29,33.0,,36.5,42.68,47.59,48.59,36.24,50.81,49.27,48,44.091780729,47.9,,,55.85617875,0,,24.34,47.38,39.891000311,33.86,49.0758,,55,45.2,49.3,,44.0895,11,-2.85,,42.54,30.93,,41.436927889,11.86055674,44.090640365,0.4523548409,0.9815008198,44.5
2.0,2.5,Jacksonville St.,Ohio,7.5,2.15,,2.5,7.27,-3.58,10.448,3.56,3.762,4.1,1.8,1.2,2.0,10.0,1.82,5.77,8.0,,0.9,0.34,-0.97,-1.04,2.77,-3.32,1.85,6,2.4486121426,5.69,,,1.6396430088,0,,-0.07,3.03,8.360258467,3.91,12.9877,,5,-1.4,5.2,,10.458,-1,-15.46,,6.41,7.47,,3.3685319373,4.9915670341,3.295,0.5149222433,0.5799240525,2.5
