canonical_model_id,model_name,history_n,model_mse,model_mae,selector_score,quality_rank,coverage_fraction,eligible_history,score_2024,rank_2024,n_2024,mse_2024,score_2025,rank_2025,n_2025,mse_2025,season_rank_mean,season_rank_sd,seasons_top20,seasons_top10,first_modern_season,last_modern_season,modern_seasons_present,selection_tier,entrant_flag,stable_top20_flag,fast_review_flag
linept_fluker,Slate Fluker,694,239.331061959654,11.9753025936599,1.11249760711597,1,0.432129514321295,TRUE,,,,,1.09714566025637,6,694,239.331061959654,6,,1,1,2025,2025,1,CORE,TRUE,TRUE,A_core
linecfbp_room44_bets,Room44 Bets,1098,239.822358834244,12.1436247723133,1.09511347994904,2,0.683686176836862,TRUE,1.03994750354115,4,548,254.563704379562,1.12391908645268,2,550,225.134618181818,3,1.4142135623731,2,2,2021,2025,5,CORE,FALSE,TRUE,A_core
linecfbp_mcillece_sports,McIllece Sports,550,232.379345454545,11.944,1.08625706082241,3,0.342465753424658,TRUE,,,,,1.07126722123358,15,550,232.379345454545,15,,1,0,2025,2025,1,CORE,TRUE,TRUE,A_core
linecfbp_oddstrader_ai,OddsTrader AI,550,222.927272727273,11.5236363636364,1.08384672582871,4,0.342465753424658,TRUE,,,,,1.06889014773591,16,550,222.927272727273,16,,1,0,2023,2025,2,CORE,FALSE,TRUE,A_core
linecfbp_david_sasser,David Sasser,550,230.278418181818,11.7092727272727,1.07891369284655,5,0.342465753424658,TRUE,,,,,1.0640251883026,18,550,230.278418181818,18,,1,0,2025,2025,1,CORE,TRUE,TRUE,A_core
dokter_entropy,Dokter Entropy,1606,238.268683250311,12.2200933997509,1.06851907969257,6,1,TRUE,1.02154308131265,7,798,245.670522055138,1.10810462083997,5,808,230.958451361386,6,1.4142135623731,2,2,2021,2025,5,CORE,FALSE,TRUE,A_core
sagarin_predictor,Sagarin Predictor,1606,240.669462826899,12.1926338729763,1.06720839661618,7,1,TRUE,1.04669511562904,2,798,242.197321553885,1.07337615523449,12,808,239.160513242574,7,7.07106781186548,2,1,2021,2025,5,CORE,FALSE,TRUE,A_core
linecfbp_power_rank,Power Rank,1098,234.576329690346,12.0285063752277,1.06520555247847,8,0.683686176836862,TRUE,1.03383385191446,5,548,248.090018248175,1.09336061541594,7,550,221.111781818182,6,1.4142135623731,2,2,2021,2025,5,POOL,FALSE,TRUE,B_stable_pool
linecfbp_dratings,DRatings,1098,246.379207650273,12.2988160291439,1.05881671719901,9,0.683686176836862,TRUE,0.954716116155343,36,548,265.850693430657,1.15622228098016,1,550,226.978527272727,18.5,24.7487373415292,1,1,2021,2025,5,POOL,FALSE,TRUE,B_stable_pool
sagarin,Sagarin Ratings,1606,240.134352615193,12.2132689912827,1.05700588619717,10,1,TRUE,1.0330689059318,6,798,243.168544736842,1.07245921253189,13,808,237.137712376238,9.5,4.94974746830583,2,1,2021,2025,5,POOL,FALSE,TRUE,B_stable_pool
linept_donchess,Donchess Inference,1559,248.287408595253,12.3906991661321,1.044418047463,11,0.970734744707347,TRUE,0.970631054457519,25,798,256.521165413534,1.11596706568899,4,761,239.65332457293,14.5,14.8492424049175,1,1,2021,2025,5,POOL,FALSE,TRUE,B_stable_pool
linecfbp_jp,JP+,1098,250.035118397086,12.4761384335155,1.04284732015522,12,0.683686176836862,TRUE,1.00024347572743,14,548,263.94795620438,1.07657250089721,11,550,236.172872727273,12.5,2.12132034355964,2,0,2022,2025,4,POOL,FALSE,TRUE,B_stable_pool
linecfbp_matt_grissom,Matt Grissom,1098,238.867176684882,12.1974499089253,1.04262640823224,13,0.683686176836862,TRUE,0.998497239473912,15,548,254.545419708029,1.09253393583385,8,550,223.245945454545,11.5,4.94974746830583,2,1,2024,2025,2,POOL,FALSE,TRUE,B_stable_pool
sagarin_golden_mean,Sagarin Golden Mean,1606,245.379161830635,12.3999066002491,1.04241788411329,14,1,TRUE,0.996656666080693,16,798,251.261784210526,1.08433606145115,10,808,239.569344183168,13,4.24264068711929,2,1,2021,2025,5,POOL,FALSE,TRUE,B_stable_pool
linecfbp_pearatings,PEARatings,550,229.118509090909,11.7196363636364,1.03649328090263,15,0.342465753424658,TRUE,,,,,1.02219015821097,32,550,229.118509090909,32,,0,0,2025,2025,1,POOL,TRUE,FALSE,C_pool
linecfbp_cfb_geek,CFB Geek,1098,245.378096539162,12.2640255009107,1.03553815823743,16,0.683686176836862,TRUE,0.954979465294055,35,548,260.445656934307,1.12186962441187,3,550,230.365327272727,19,22.6274169979695,1,1,2021,2025,4,POOL,FALSE,TRUE,B_stable_pool
linept_big200,Big 200,1558,274.715980102696,13.0993581514763,1.03292886945706,17,0.970112079701121,TRUE,0.957494509264512,33,797,284.285323588457,1.0880074620937,9,761,264.693947568988,21,16.9705627484771,1,1,2024,2025,2,POOL,FALSE,TRUE,B_stable_pool
linecfbp_kford,KFord,1098,235.382158469945,12.037795992714,1.03073941756668,18,0.683686176836862,TRUE,1.01716990231884,9,548,249.733686131387,1.0613605543074,21,550,221.082818181818,15,8.48528137423857,1,1,2023,2025,3,POOL,FALSE,TRUE,B_stable_pool
sagarin_recent,Sagarin Recent,1606,244.417961581569,12.3647882938979,1.03055967155861,19,1,TRUE,1.07513131037235,1,798,243.886235839599,0.992947700886827,40,808,244.943106559406,20.5,27.5771644662754,1,1,2021,2025,5,POOL,FALSE,TRUE,B_stable_pool
linept_laz,Laz Index,1559,264.439488133419,12.6102886465683,1.0298623130327,20,0.970734744707347,TRUE,1.00291665621071,13,798,275.590623684211,1.04258915680643,26,761,252.74618173456,19.5,9.19238815542512,1,0,2021,2025,5,POOL,FALSE,TRUE,B_stable_pool
